username,review,calificacion
Luis lugo,"Comida deliciosa, atención de primera, todo muy bien!! Hay servicio de valet parking a una cuadra.",4
Héctor Esteban García García,"En Mercaderes la comida mexicana es servida con solemnidad. El recinto está ambientado con música nacional para redondear la experiencia. La atención es amable y el servicio, impecable. Sus panes tienen un sabor espectacular y sus salsas…",4
Clara Sanchez,"Deliciosa la comida, muy recomendable las Enchiladas 3 Marías, con tres chiles y pollo, res y queso una delicia. Y una rica Mimosa. Ambiente agradable.",4
Pablo Sosa,Siempre a la altura... Muy buen servicio..,4
Aldo Flores,"Ambiente ejecutivo y tranquilo, la atención del personal es muy buena, por parte del gerente igual, los chiles en nogada exquisitos, los tacos de rib eye muy buenos, la arrachera muy buena. Le hubiera puesto 5 estrellas pero la cocina se tardó una eternidad. Recomendado.",3
E A,"Un lugar muy ameno y la comida tiene buen sabor, hay que tener cuidado con todo lo que te llevan a la mesa porque a veces lo dejan pero no avisan el costo o si uno lo quiere, llegar después de las 12, hace un poco la preparación de…",2
Algerie oli,"El lugar tiene su propia historia, está construido sobre las ruinas de piramides y tiene protección de INAH, La comida es muy rica. Los platillos son abundantes, tienen café americano y nesspreso. El pan es recién hecho y recomiendo pedir…",4
ana laura torres huerta,"La comida es deliciosa, el menú muy original y muy mexicano. El servicio es muy bueno, super amables",4
Mario Ruiz,"Tenía mucho tiempo de no regresar a uno de mis restaurantes favoritos en el centro histórico. Como siempre, la comida estuvo deliciosa desde la sopa al plato fuerte que ya no…",4
Miguel Angel Girard Islas,"Me gustan los desayunos, el chocolate y las conchas, lo que pidas esta muy bueno, me gusta ir con mis visitas de fuera, siempre quedan encantados.",4
miguel jG,"El personal es muy amable sin llegar a ser asfixiante, la comida es buena a un precio justo con el extra del pan de muerto (por la temporada).",3
Yesi García,"La excelencia total en todos y cada uno de sus platillos!! Además el servicio es maravilloso. Un lugar cómodo, de alta calidad en el centro de nuestra ciudad con excelente ubicación. Una visita obligatoria! Delicioso!!",4
Erandi Olguin,"Muy buena la comida, tienen variedad y los platillos no son los típicos de cualquier restaurante. Recomendado la concha con nata, esta deliciosa",4
G G M,Un lugar clásico en el centro histórico con muy buena atención y ricos desayunos visita obligada al recorrer el centro historico,3
Miguel Angel Licona Contreras,"Deliciosos los platillos y precio accesible la atención es muy cordial ,vale la pena había música en vivo en el desayuno exelente",4
May S,"Excelente Chile en Nogada, 400 pesos pero valen cada centavo. Aperitivos deliciosos y servicio impecable. Les recomiendo el cheesecake de postre, exquisito!",4
Gerardo Jiménez,Primera vez que lo visito.. Y me lleve una Muy Agradable Sorpresa!! Excelente Sabor y Atención! Ademas para la calidad esta muy bien sus costos!! El pan que te dan de entrada.. Delicioso!!,4
alejandro polanco,"Buen sabor y buen servicio; el precio a lo ""normal"" de la CDMX.",4
Narciso Silva Chavez,Excelente lugar para desayunar y comer. Muy elegante.,4
Mr. K vera,"Tiene buenas instalaciones sin embargo los platillos son muy pobres casi no les colocan ingredientes promete pastor , carnitas y queso y solo le pusieron carnitas y nopal y hasta eso muy poco de ambos pésimo lugar para comer .",0
efrain delgadillo mejia,Una excelente opción para desayunar. Puedes tomar mimosas por el desayuno.,3
Venus Ponce,"El lugar lo remonta al pasado con su decoración, a la entrada le toman la temperatura y le proporcionan gel. Los platillos deliciosos y excelente atención. No cuenta con estacionamiento.",4
M&M Family,"La comida está divina, ademas que te ponen un pan relleno de queso cuando llegas que es de otro mundo. El servicio es muy bueno, siempre están pendientes si necesitas algo. Lo recomiendo es un buen lugar si estás en el centro de CDMX",4
ricardo kowalski,Excelente comida tipica. La carta de vino es amplia y bien seleccionada. Se destaca el Mixote de Huachinango. /// Excelent local cousine. Ample and well stocked wine cellar. The Mixote of seabass is recommended.,3
samanta ramirez martinez,"Doy solo 2 estrellas por el mal trato de los meseros... La comida es rica, algo caro pero lo vale, pero el servicio de los meseros es desesperante, sieempre te quieren vender las mimosas, descuidan las mesas, no…",1
daizu navarrete,"Excelente servicio, comida riquísima comida y un lugar agradable para desayunar",4
Damian lopez,Muy buena atención y la comida mexicana es de primera.,3
Juan Manuel Vasquez Lopez,"Agradable y buena atención.. Lo mejor los alimentos... Una gran calidad, un gran sabor... 100% recomendable",3
Ana Paulina Peña Gonsalez,"Muy rico ,aunque se tardan un poco.",3
male sal,"Me encanta que puedes hacer reservación, encuentras comida típica mexicana. Se desayuna delicioso y hay música en vivo los domingos. La atención es excelente, un lugar muy agradable para convivir.",4
Bob Lopez,"Comida Gourmet de primer nivel todo delicioso los meseros super eficientes y amables. La comida excelente el chef de primer nivel, vala la pena cada peso que pagas!!",4
Susana Garfias,"Excelente restaurante, delicioso y buena atención.",4
Esmeralda Arredondo,Excelente servicio! Todos muy atentos y amables. La comida deliciosa. El Chile en Nogada que es el platillo de temporada estaba sabroso. Sin duda estaré de regreso muy pronto.,4
Carla Cruz,Buen servicio y excelentes alimentos.,4
Israel Alfaro Alfaro,Muy recomendable para una buena comida gourmet.,4
Maria Forzamore,"Calidad, atención y ambiente para festejar! Hermoso inmueble",4
Emigdio Fernández Cruz,"Excelente servicio, comida rica y precios acordes al lugar. Pague $1000 por almuerzo de tres personas con bebidas y pan. Abren desde las 8 que en esta zona es raro encontrar lugares abiertos.",4
Arturo Enrique Aguayo,"Muy rico toda la comida, servicio de primera, precios elevados pero bién vale la pena darnos un gustito, muy recomendable",4
