username,review,calificacion
Hayarangas Jam Jam,"Tiene mucho que conozco este lugar y ""ANTES"" de la pandemia tu te servías a tu gusto todo lo que tu querías de la barra. Los cortes eran super ricos y la carne era de primera, super suave. ""AHORA"" sentí que algunos cortes estaban muy…",3
JOAQUIN SANCHEZ,"Buen servicio, adaptaron el estacionamiento como restaurante y hay buen espacio para guardar la sana distancia. Todo muy rico y la atención por parte de su personal, muy bien.",3
Axel Garcia,"El precio es justo por los cortes y variedad que recibes aunque el sabor no es muy bueno, los cortes son muy salados y la comida de la barra carece de sazón, la atención fue parcialmente buena por una parte del cuerpo se meseros y por otra parte recibimos mala atención. Probablemente no regresemos al menos a esta sucursal.",2
Mario Alberto Aguilar Márquez,"Excelente lugar, servicio muy amable y efectivo, por contingencia la mecánica del servicio cambia un poco, en la barra de ensaladas te atiende una sola persona, una desventaja es que los cortes te los sirven de tres o cuatro a la vez lo que…",4
Mayo FloHid,"La atención es la que deja mucho que desear el lugar es estándar nada fuera de lo concurrido, tenían un plástico horrible tapando la barra del menú por covid, pudo haber sido algo más estético y limpio, la carne 4 estrellas",2
Karen Arciga,Me gustó mucho todo la comida es deliciosa y las piñas coladas me encantaron,3
Elizabeth Hinojosa Anaya,Si te gusta comer de todo un poco?.. Es el lugar correcto. Todo es muy delicioso y muy buen servicio. ,4
Paty Saenz,"¡¡NO LO RECOMIENDO!! Me atraía bastante el concepto y siempre que pasaba veía mucha gente pero mal MUY MAL el lugar esta muy encerrado, muy muy pequeño, las mesas muy amontonadas (por eso siempre hay gente esperando) las entradas están…",0
cloromanzanita itzy lu,"Hace mucho íbamos y el servicio era bueno en general, con la pandemia han resuelto la cuestión del buffet de forma ingeniosa pero se vuelve muuuuy lenta, hay una persona detrás de plástico sirviendo lo que pides.…",1
Gris lo,"Todo muy rico y te sirven super rápido, si reservas con tiempo no haces fila",4
Pablo Rendon,"Su atención bien ,personal gral, mejjorando después de la pandemia ,se siguen protocolos ,Bien",3
JuMa Espinosa,"Excelente lugar para degustar una comida rica en proteínas jajaja, tmbn hay guarniciones de todo tipo y las ensaladas y caipirinhas deliciosisimas, definitivamente volveré, el precio es de medio a alto pero vale la pena.",4
Silvi Hernández,"Hola!! Muy bien. Te sirven todos los cortes que tú quieras muy ricos todos. Siempre tienen gente, pero pasa uno rápido... Hay un pastelito mil hojas riquísimo....",3
V5Crowx,"Simplemente delicioso hay mucha variedad de guarniciones y ensaladas, la carne muy rica, la atención fue muy buena, si hay que esperar un poco pero, lo vale fue muy buena la experiencia del lugar.",4
RANDY KURT,"El lugar me pareció bien para ser improvisado en estos momentos por la pandemia, los cortes están sabrosos pero podrían mejorar. La temática es que cuando llegas se presenta un mesero y te explica que primero vas a pasar a la barra de…",2
Miguel Angel,"Debes reservar previamente y ser puntual. Buen servicio, puede mejorar la calidad de sus cortes",3
eduardo archundia,"En general no creo que sea malo el lugar, pero el tema de la barra de la comida es muy pequeño en cuanto a tamaño y no tienen variedad, los ingredientes que predominan son las papas y manzana.…",1
Nohemi Rojas,El lugar es un poco pequeño y a los meseros que sirven las espadas de carne prácticamente los tienesbque estar cazando y persiguiendo porque no pasan por todas la mesas. El sabor de la comida muy bueno.,3
Marcos Ramon Flores Vargas,"Estuvo rico, toman las medidas correctas de seguridad, solo que si parece que la chica lo regaña a uno cuando se acerca de más en el área de ensaladas cuando pasa el plástico, uno se acerca inconscientemente porque no escuchan bien y estoy de acuerdo que se tomen las medidas pero también pienso que hay formas de pedir las cosas",3
Art Chi,"Buen lugar para bufette de carne, tipo brasileño. Cumplen con las medidas sanitarias.por la pandemia.…",3
Miriam De La Rosa,Su atención es muy buena me gusto  el lugar y la comida es exquisita ..... si volvería a regresar.,4
Ana Maria Ortiz,"Buen lugar para saborear varios cortes, pollo y chistorra, variedad de postres, todos deliciosos (pastel de elote, mil hojas, pastel de chocolate, trufa con helado, etc) variedad de bebidas incluyendo jarras de agua de varios sabores, buen…",4
Irene Irenita,"Atención inmediata, personal muy atento en todo momento, buffet muy completo. Deberían tener opción de pastas integral, o arroz integral, por lo demás excelente",3
Jorge Chavez,Excelente servicio. Atención de lujo. Los cortes de carne variados y con un sabor excepcional. Gran variedad de bebidas para acompañar una agradable comida.,4
azael velazquez,"Horrible! Empezando por que el lugar es muy pequeño, lo llenan al 100 % y no hay más…",0
Amaury Pineda,"Buenos los cortes, calidad en general de los alimentos está bien, atención a cliente les.pomgo un 6 de 10, si recomiendo ir, pero ten en cuenta que te presionan con comer rápido.",2
Edith Morales,"1000 pesos por carne cruda, un mal servicio y solo haber bebido. Pésimo servicio, el gerente en turno (memo dijo llamarse) nos dijo que si estaba crudo pero había otras partes cocidas q se podían comer",0
Idalia Ramirez Pazos,Un buen servicio,3
DULCE SOTO,"La barra de ensaladas bien, pero en las espadas frías, no hay gran variedad, a comparación de otras espadas mucho k decir, la atención buena pero si vas a un lugar así esperas    buena y variedad. He ido a otras espadas y por ello comparo, no me gustó. No vuelvo a ir.",1
Giovanni V.,"Buen sevicio, lo malo es el espacio y los baños muy pequeños, de ahi en fuera muy bien",2
Hachi Milo,Solo sirven al principio puros cortes de cerdo y al final ya que te llenaste te traen Res. La barra de ensalada buena. La atención no fue de nuestro agrado ya que cuando llegamos dijimos que veníamos con un festejado y nada que dieron…,2
