username,review,calificacion
Leonardo D G Villegas,"Muy a gusto de este lugar. Todo lo que pedimos bien de porción, muy rico y buen precio. Sin duda regreso. Pasta picante con pechuga empanizada deliciosa. Piña colada y capuchino igual.",4
sam lopez,"El lugar está muy agradable y los meses con muy buena actitud y muy atentos. La comida igual deliciosa, el único ""pero"" que pondría es que a las carnes les hace falta un acompañamiento para que no se sientan tan ""secas"" algo así como una…",4
Laura Esparza,"El lugar es muy agradable y el personal amable, una excelente opción para desayunar en la Industrial",4
Ana Orozco,"Excelente lugar, buenos precios, buen ambiente y excelente atención",4
Jesica González Olivares,"La variedad de bebidas calientes/frías y alimentos tanto para desayunar como para comer (ignoro si el negocio está abierto hasta horario de cena) es buena . Las porciones de los alimentos son tan buenas como su sabor y presentación, se…",4
Javier Paniagua,Muy rica la comida  excelente servicio precio gusto ,4
Ivonne,"Muy rico todo. Los platillos son muy bien servidos, quizá hasta para compartir. El personal atento y amable.",4
Yommi Kat,Excelente servicio y platillos muy bien servidos,4
Gina Contreras,"Excelente,nos encanta comer ahí",4
Inkisid0r 117,"Muy bonito lugar, Buenos precios, Atención increíble, Buena música, Comida deliciosa. …",4
Ian Maza,Muy buen trato y comida muy rica!,4
Jorge Ivan,"Recomendable las enchiladas suizas y la arrachera, me pareció muy bueno a comparación de Vips o ese tipo de restaurantes más comerciales, te sirven más y con un mejor sabor. Las instalaciones están normales, así que te lo recomiendo si quieres comer rico y no te molesta un asiento no tan cómodo",3
Pepe Maciel Nieto,Fue un lugar muy acogedor y agradable En dónde se almuerza se come y se desayuna muy rico además de tener un excelente servicio una atención muy bien brindada por el personal de el lugar el cual es muy atento y agradable además de atento y…,4
Gabby Rivera,"Excelente el servicio ,la comida , el ambiente van muy bien ....",4
Claudia Santacruz,"Excelente servicio, muy buena calidad y presentación de los alimentos.. ",4
Alicia Guzman,Muy buena atención,4
Daniel Hernández García,"Uno de los lugares más ricos del rumbo, con precios competitivos para la comida que elaboran y con un muy agradable espacio presencial.",4
Ibeth Mp,De mis sitios favoritos para cuando necesito comer y hacer algunas actividades del trabajo ya que tiene una buena conexión a Internet. No es tardado el servicio y los chiles en nogada son buenos,3
Angelica P.B,El lugar es acogedor y puedes disfrutar unos ricos burritos con frijoles y carne de cerdo preparada.,2
Dulcemaria Ramirez,muy buen lugar ...la comida muy rica.. se los recomiendo,4
Hector R Perez Cortes,"El itakate nunca falla para tener un buen desayuno, con porciones generosas por un buen costo y el tiempo de espera es corto. En lo personal me gustan mucho los chilaquiles.",4
Cristian Ulises Belmont Espinosa,"la comida es buena, la atención aún más, pero su café no es tan bueno, no está mal pero parece un café comercial. Aún así todo agradable",3
Argelia Novelo,Muy rico todo y buena atención!,4
paconocer mexico,"Muy buenos costos, muy amables y muy rica la comida.",4
Aquiles Meixueiro,"Es buen lugar, buena atención.",2
Andry Ly,"Un lugar pequeño pero con gran sabor, el local es sencillo pero muy agradable, los platillos son buenos, yo probé los desayunos y todo bien, me gusta que cuidan mucho la presentación de los alimentos, te sirven café, jugo o fruta con tu desayuno. La atención es excelente, gastamos aproximadamente 160 pesos en dos desayunos.",4
Andiie Presiado,"Delicioso, gran atención, buenas porciones, sin duda se convierte en mis lugares favoritos del rumbo para desayunar ",4
Enrique Gutierrez,Buen lugar!!,4
Armando Cabrera,"Muy rico, recomendable",4
Nathaly Ibañez,"Me encanta el café, el servicio es excelente.",4
Juan Gatica,"Buen lugar,disfruta uno la calidad humana de la atención así como de los alimentos, precio razonable, felicidades !!!",4
Lustein Carbajal,Excelente lugar para desayunar y/o comer,4
Guadalupe Jimenez Olmos,"Buen trato, la comida tiene buen sabor",3
Cesar Garcia Flores,Buen servicio desde los meseros hasta el gerente del lugar la comida y precios recomendables,4
roberto marquez,Excelente servicio,4
Monica Ampudia,"Buena comida, servicio rápido muy amables",4
Rodolfo Caballero,Muy rico y bonito lugar a precios super razonables además de la excelente atención de los chicos que atienden y como plus la belleza de la chica de cabello anaranjado ,4
Karla “Kareliley” Leyva,"La comida es muuuy rica, cuentan con todas las medidas sanitarias, la atención por parte de los dueños es increíble",4
Katherine Garcia,"Todos los platillos y bebidas estuvieron muy deliciosos, atienden rápido!",3
Pamela Alvarado,"Ideal para comer en familia, precios razonables.",3
guadalupe benavides,"Los precios muuuuy accesibles, el ambiente muy agradable (la música es tranquila y su volumen jamás impide la plática), el servicio muy atento y la comida súper rica; su preparación es completamente artesanal (nada de productos industrializados). Me enamoré del lugar!",4
Tanny Mena,"Todo muy rico , lo chicos muy atento. la naranja, muy rica fresca, Hamburguesas con tocino deli, lo la salsa de cacahuate súper , todo bien lo recomiendo mucho. El lugar muy cómodo.",4
Luis Contreras,"Buen lugar para comer tomar una cerveza con amigos y relajarse, recomendación al 100 la parrillada.",4
omar acuña,es bueno el lugar muy espacioso muy limpio y buen trato muy amenos,4
Leon Loredo Aaron Enrique,"Me parece un gran lugar para comer a cualquier hora. Desayunos bien servidos y comidas completas muy buenas. Me gusta mucho la hamburguesa principal, gran tamaño, excelente sabor y buen precio.…",3
Jesús Celaya,"Se preocupan mucho por mantener contentos a los clientes, el servicio es excelente, el ambiente, la decoración es muy agradable. Aunque creo que el precio es un poco elevado, o podrían ofrecer porciones más grandes por ese precio.",4
Poder Financiero Joaquín Rivero (#AbundanciaconPoder),"Excelente servicio, platillos muy ricos y precios accesibles, me gusto mucho!!",4
Angel Sanchez Bautista,Los chilaquiles son muuy ricos,4
samadi Diaz,"muy buenos platillos, buena comida, servicio, atención, y precios.",4
Alejandro Montes,Muy buen lugar y ambiente la comida muy rica!!,3
Vladimir Rivera,Muy rico,3
Edda Peralta,Muy rico,4
Harol Torres Rocha,"Excelentes precios, riquísimo y muy buenas porciones",4
Becki Vleshower,"Super servicio y limpieza, los alimentos muy ricos.",4
Danna Bautista,"Me gustó el desayuno, el café, me sentí segura, toman debidas medidas de salubridad para evitar contagios por covid. Buen precio.",4
hcpunk182,Excelente servicio y sazón,4
Carmen Loredo,"Muy bien atendidos, sabores bien, insistiría en medidas de saneamiento de mesas previos a su asignación.",3
Monserrat López,"Comida súper rica, atención especial por parte del chef (muuuuy lindo por cierto) Súper recomendable",4
Alma Perez,La comida y bebidas son deliciosas...,3
Eduardo López Castillo,Delicioso,4
Erika Cadena,Muy buen lugar la comida es exiquisita un excelente ambiente y un personal amable recomendable al 100,4
Elena Moreno,Buen servicio y la comida deliciosa,4
Ariadna Fabiola Barajas Ramos,Rico y a buen precio,4
J A O L E E N,"Excelente servicio, personal muy atento y la comida bastante rica.",3
Jose Isai Ornelas Cortes,"Super lugar y super bien la comida, excelente servicio ",4
ma. cristina aguilar gutierrez,Muy rico y buen servicio,4
Flor Longoria,"Muy agradable el lugar, el servicio exelente y los alimentos muy buenos",4
Arturo Garcia,Riquisimo y bue ambiente para estar con las amistades.,4
Diana Irais Diaz,"Muy rico y muy bien servido. Buena atención, el espacio no es muy grande, pero está bien ventilado",3
Juan José González (Grungemx),Muy rico. Estaría bueno que los salchipulpos tuvieran papas a la francesa.,4
Jorge Sierra García,Bueno bonito barato limpios y rapidod,4
Alma A. Ramos Morales,Súper rico,4
Silvia Arellano,"Muy ricos alimentos y buenas porciones, el menú es muy variado: carne, hamburguesa, pasta, chilaquiles, ensaladas. Me gustó",4
Marco Antonio Rodriguez Gonzalez,"Ambiente y trato agradable, alimentos bien preparados y buena porción por el precio",4
Benjamín Meza,"Rico, buen precio, excelente para un domingo",4
Nando Contreras,Excelente servicio. Atención cordial.,4
GERARDO DOMINGUEZ GARCIA,El lugar es sencillo pero muy agradable. Los platillos ricos y a buen precio. La atención es excelente!!!…,4
Bruno Moy room,Excelente servicio,4
carlos gonzalez cervantes,"Me encanta, comida muy rica, atención excelente",4
Edgar Perez,Buena atención,4
Martapaty Rodriguez,"Las hamburguesas riquísimas, jugosas, bien preparadas. A muy buen precio",4
Daniel Benítez,"Un lugar algo pequeño pero agradable, la comida bastante buena aunque hay platillos cuya porción se me hace poca para el precio.",3
marthita64 74,"Es un lugar muy agradable, cómodo, tranquila la zona, no hay mucha gente, el servicio es excelente, son muy atentos y sirven rápido, la comida esta muy rica y son precios accesibles. Lo que sugeriría, es no poner la música con alto volumen,…",4
Gaby Perez,Un lugar tranquilo y variado para comer Un poquito de todo a buen precio Arrachera lasaña botanas...,2
Estefano Andrade,"Cambiaron su carta! Qué decisión tan atinada. Hace un año los califiqué con 2 estrellas, acabo de regresa y ya hay más variedad de platillos y el sabor mejoró. Felicidades!",3
Carolina Morales,"Pedi un burrito en este lugar y vino solo relleno de arroz que falta de respeto, al cliente jamas compro mas en este lugar.",0
Ing. Ismael Montiel H,Buen lugar para desayunar. Recomiendo las enchiladas potosinas y los molletes. Muy buen servicio. Pagas en efectivo o tarjeta. 100 % recomendable,4
eli ramirez,Buena atención de parte de sus colaboradores,4
CENTERWASH México,"Excelente atención, delicioso y económico",4
Clara Lilia Varela Tapia,"Llegó la propaganda a mi casa para entrega a domicilio y cuando hice mi pedido me dijo el encargado del restaurante , de forma muy grosera , q su cobertura no llegaba a mi colonia y me colgaron la llamada sin mayor explicación... No sé…",0
Patty Noris,"La comida en general es buena, el servicio es bueno pero a veces la fruta no sabe a nada y la papa al horno no es muy fresca. Fuera de eso, tienen platillos súper recomendables.",3
Marco Zar,"Un lugar muy cómodo para platicar y comer, una cervecita cubana con algo de carne es muy rico!",4
Luis Cisneros,Muy rico y buena atención,4
LEONARDO ARTURO GARCIA RESENDIZ,"Aceptable el sabor. Agradable lugar, buen precio, pero un poco excedida de grada la comida.",3
Blank A Paz,"Nos encantó!! La comida riquísima, platillos a excelente precio, un ambiente muy agradable. Vale la pena visitarlo*",4
Jesus Garcia,Hamburguesas con carne prefabricada que no cubres espectativas,2
Eduardo López,"Muy descuidados con el empacado de los alimentos para llevar, usan unicel en tiempos en que ya todos deberían usar empaques biodegradables y lo peor de todo es que un chai late derramado sobre un sandwich de queso con tocino no se antoja para nada.",0
Miguel Angel Corte Guzman,Se tardan un poco para entregar pero bien,3
Jessica Elizabeth Romulo Zarate,"Lugar pequeño pero excelente atención,sabor y presentación en sus platillos, ampliamente recomendable",4
Diego Montiel,Siempre tan amables y buena comida. Muchas felicidades,4
Maria isabel Mendoza reyes,"Excelente servicio,me dejaron pasar a mi perrito ",4
Ari del Rio,Excelente lugar,4
Karina Perez,Excelente atención pero de pronto no tienen todo lo que ofrecen en su carta.,3
Fernando García Rodríguez,"Muy buen lugar, buen equilibrio precio calidad, aunque las porciones me parecen pequeñas",4
Astrid Perellon,En septiembre fui diario por chiles en nogada. Qué barbaridad! Me encanta el sazón y el ambiente,4
guillermovt,"Buen día, hoy visitamos el itakate en horario de desayuno y es un pequeño local con unos platillos variados precios muy accesibles, el cuidado en el sazón es muy recomendable sus porciones sufícientes, la atención también es agradable.",3
angeles gallegos,Excelente lugar! Tranquilo y limpio. Lo mejor la comida! A un buen precio,4
Isrha Cass,"Deberían invertir más en la calidad de la carne. Longaniza de mala calidad, super salada, bistec  de tercera. ( ordenamos una parrillada para dos o tres personas).",2
Alejandro Zitle,Muy recomendable. La comida es vasta y deliciosa. Los precios accesibles y el servicio muy cordial.,4
Arturo Solares,"Me pareció muy bonito el lugar, el servicio y la forma de presentación de los platillos. Los tomaré en cuenta la próxima vez que vaya por esos rumbos.",4
anu66669,Pues es un lugar bastante limpio y te atienden rápido y de buena manera,4
Ángel Rodríguez,"Buen precio, buena calidad, atención muy buena.",4
Nohemi Alarcón,"Un lugar muy chido, acogedor, se puede desayunar, comer y beber  muy a gustó ",4
Raul Herrera,"Buen sabor, precio accesible y muy interesantes sus paquetes",4
Caty Cadena,Muy buenos los alimentos y los precios aceptables,4
HD Cargo Services,"Atención muy buena, precios justos, a los platillos les falta sazón y están algo fríos, ojalá puedan mejorar.",1
MARIA CLAUDIA SANCHEZ VELAZQUEZ,"Buen sabor,, bien servida en cantidad y buen precio",4
David Chavez,El lugar es muy agradable y los alimentos de igual forma son muy buenos con una gran variedad el servicio es excelente también,4
Luz Hernandez,Me encanto ! Muy buen servicio la comida súper deliciosa,4
Jairo Montor,Está muy rico con buen Ambiente familiar Excelente servicio,4
Alberto Contreras,La arrachera bastante recomendable acompañada de una cerveza ,3
Armando Xpuma,Todo está delicioso,4
vic pez,Bien. Lo único es la lasaña estaba seca.,3
memo landero,Un lugar agradable con música y la comida deliciosa... Visitalos,4
yazmin najar,Muy rico todo. Excelente servicio,4
ESPEJEL REYES GUSTAVO JOAQUIN,"Excelente comida, buen servicio, el lugar es muy cómodo, su diseño hace que pases una agradable estadía al momento de comer.",4
roberto chagoya copado,Exelente muy buena atención y servicio y buenos precios lo recomiendo y los alimentosmuy saludables,4
David Zam Cam,"Servicio rápido, buena presentación de los alimentos y buen sazón. Les falta cuidar un poco más los elementos centrales de un platillo, ejemplo: los totopos fritos de los chilaquiles no pueden venir en bloques (pegadas) de hasta 6. Gracias por su servicio a domicilio. Claro que continuaré degustando de su cocina.",3
Martha Dominguez,Con un Pan Francés y un Tè Marrakech para comenzar el día son inigualables,4
Landofsivana! !!!,Muy buen lugar para relajarse y comer,4
Eva María Toral Hernández,Muy rico todo,4
lalo miro,La comida más rica de toda la colonia Industrial.,4
Justa García,"Excelente servicio, calidad y sabor muy bueno ",4
Misael Abraham Tejeda Rojas,"El lugar es limpio, y platillos muy llamativos pero no tienen nada de sabor, su comida no la condimenta en general, pero sus malteadas son muy ricas.",0
Carlos Manuel Garcia,Un lugar chico agradable buen servicio,4
Emma Carbajal,"El lugar es acogedor, la atención de primera y la comida es muy rica. Definitivamente volvería.",4
Ricardo Moscu,"Excelente sason, servicio y un lugar muy agradable",4
Street Machines,Buena cocina,4
Vannessa Maciel,"Muy buena la comida, se sale fuera de lo comun de una comida corrida",4
Genaro Monroy,"Grato lugar , bien agradable",4
Ximena Sandoval,"Recomendado al 100 , la comida súper rica !!",4
Marco A Peña.,Muy bueno lo recomiendo.,4
Tony Lezama,Dan un buen servicio,4
Fuegomx,"Bueno y accesible, con servicio a domicilio y aceptan TDC",3
Raúl Adrián Cruz,Muy buen servicio y el dueño muy buen anfitrión.,4
Celia Prado,"Muy recomendable, buenos precios y calidad",4
jose angel alvarado,"En este lugar la cocina es excelente, variada y a precios muy accesibles, la atención es rápida, eficiente y con amabilidad. Para mí gusto, supera otras opciones como el víps, el toks, Bisquets Obregón, el portón, wings y sabores.",4
Guillermo Guaracha,Muy rico,4
Nala,"Delicioso todo, atención inmejorable. Agradable de todo a todo. "" Me encanta""",4
AbsolutmediC,"Diseño muy bonito, comida muy muy rica.",4
MJ San,Excelente menú. La comida SIEMPRE está deliciosa.,4
Arienne Moonchild,Muy buena atención y comida. Un lugar agradable y con buenos precios.,4
L.A. Piquard,"Comida interesante, sabrosa y diferente!",3
Claudia Gonzalez,La atención es buena pero la comida ha bajado su calidad,3
Revansens,"Super rico todo, un poco lento pero vale la pena",4
Rommel Sierra,Buena sazón!,4
Mi pequefiesta fiestas,Me encanta ir Todo muy rico y todos muy amables,4
Mildreth C,Todo muy rico!! Muy agradable lugar,4
Kevian Rebeca,Riquísimo!!!!,4
Gloria Romero,"Lugar muy agradable, buena atención y comida muy rica",4
Alejandro Cortes,Excelente lugar para comer,4
Javier Najera,Excelente lugar super rico y muy buen precio y buen servicio,4
daniel claro,Agradable lugar.,4
Manuel Huesca,Muy buena la comida,4
Marcia Marquez,"Los meseros super amables, la comida es riquísima, muy buen ambiente!",4
ROBERTO GARCIA,Excelente comida. Muy sabrosas las pastas y la arrachera de primera,4
David Vasquez,Muy agradable,3
Josefina Casasola,Que deberían estar más al pendiente ya que íbamos por las enchiladas potosínas y no habia,3
Rosario Fabián,"Pues en general la comida es buena,solo un poco más de limpieza en los vasos.",2
Lourdes Martínez Domínguez,Los desayunos están muy ricos y a precio accesible! Pero el café es muy malo casi siempre sabe a quemado!,2
Ripley M64,Excelente comida,4
Alan Avalos,"Excelente atención, cómo ningún otro, precios considerablemente baratos, y el sazón delicioso",4
Jesus Olguin,Excelente lugar,4
alfonso garcia,Excelente servicio muy buen sazón y precios muy accesibles,4
DURO DE MEXICO,Exquisito !!!!!!! Muy buen servicio......Agradable ambiente. Lo recomiendo ampliamente.,4
Diego Flores,Se come muy buen a un precio justo,3
MOBILAPPSOLUTION longi,exelente sitio para comer..... exelentes platillos,4
luis ocana,Para comer sabroso y en abundancia,3
Emilia Muñiz,Excelente servicio,4
Roman Alejandro,Atención excelente,4
Suku Salazar,Excelente comida,4
Luisant canales,"Comida deliciosa, muy buena variedad y excelente calidad y servicio",4
Noé V.C,Muy rico!,4
luis armando Villegas,Excelente servicio,4
Roberto Rojas,"Buen menu, sencillo, original y buen sazon.",4
Ana,Rico limpio y precio justo regresaré,4
Alberto Correa,Un buen lugar y tranquilo,3
DarkYkarus Vazquez,Buen servicio comida rica y buen precio,3
Jorge Castro,Excelente comida se los recomiendo además de barato,4
Gabriela García,Pan francés delicioso!!!!,4
Franco Gonzalez,Excelente servicio y sabor,4
HILDA ZUÑIGA,"Siempre amables, siempre delicioso",4
Martín Cuéllar,Demoran poco y se les olvida algunos ingredientes,2
Karen Elizabeth Gutiérrez Barrera,Muy buen lugar para comer!!!!,3
jose loza,Excelente lugar....,4
Claudia Reynoso,Súper recomendable!,4
Alejandro Hernandez,Excelente comida!!!,4
Oscar Padilla Gonzalez,"Muy buena la comida, felicidades",4
Tbobreak,Buen servicio y buen sabor,3
Pink Contreras,Muy rica la comida y atención inmediata,3
Karla Bonilla,Buen servicio,4
Patricia Moya Ibarra,Buen servicio,4
Jesús V L,"Más o menos, un poco caro a mí parecer.",3
Lucia Zavala,"Buen lugar agradable música,",3
Jose Salaices,Los mejores chilaquiles de la colonia Industrial.,4
Juan Gerardo Diaz Chang,Excelente sabor y atención.,4
manuel garcia,Exelencia dsd los colaboradores hasta el dueño,4
Beatriz Saldivar,Excelente,4
Nadia Arrñlki,"Excelente lugar , buen lugar y excelente comida",1
eperrus roses,Rico y limpio,3
Victor Celis,Buena comida!!!,4
Enrique Melo,Excelente,3
JOSE LAGUARDIA,muy tařŕf,1
Cdia V.M.,"Se desayuna rico,en un ambiente agradable",4
Yuliana Escobedo,Delicioso y económico,3
alexdf1,Bueno bonitillo y barato,4
Angelo Emmanuel Alvarez Huerta,Bastante rico y bien atendido,4
Iva Zc,Servicio lento,2
Fabricio Martin Godoy,Me gustó.,4
KS,"Buenas comida, algo olvidadizos y tardado en la atención",3
Alex Díaz,Excelente,4
KARLA GUTIERREZ,"Limpio, rico y comida abundante",3
Armando Livas,Muy ricos alimentos y atención,3
Steph Quijano,Delicioso,4
Marisela Juárez,Excelente atención y desayunos,4
hvrm lugo,Excelente,4
kala kala,Riquísimo,4
Montserrat Jennifer Sánchez Contreras,Siempre la comida es perfecta,4
jc r,Ambiente familiar,2
Enriqueta María Pérez Mandujano,Rico,3
Luis Espinosa,Tienes platillos interesantes y muy ricos,4
Maru Lozano,"Rico, económico y rápido",3
Julio Hdez,"Excelentes servicio, comida y precios",4
Gerardo Franck.,,4
Satan Viral,,4
arnold vodka,,3
Brenda Moreno,,4
Jazmin Torres,,4
Jessica Colmenares,,4
Sandy Frausto,,4
Amaury Chávez,,2
Dani Castañeda,,2
Liz Alejandra Luckie,,4
Cynthia Garcia,,3
Fernando Mendoza,,4
EL ITAKATE,,4
Kemyu Alvarez,,4
Roberto MH,,4
Pamela Gamez,,4
Grace Rubio,,4
Pedro Ramirez Porras,,4
Díaz Ramírez Gerardo,,4
Andreea LC,,4
thAnnYa ViLlAlovE,,4
Monika Valencia,,4
Sam Lozano,,4
Oyuki Ham,,3
Fili,,4
Charls Castro,,4
Ricardo Ortiz,,4
Tony “Tony Black” Black,,2
MIGUEL LUNA,,0
Maurizio Laguardia,,4
Gabriela Almanza,,4
José Luis Sámano Sánchez,,4
Raul Ines Martinez,,2
Eduardo Zavala Garcia,,0
Andres De La Torre,,3
Brian De La Luna,,4
Marisol Salgado,,4
Ernesto Castillo,,4
Humberto Espinosa De Los Monteros,,4
Bertha Luisa Penélope Vergara Barrera,,4
Felipe Lopez,,4
Juan Bojorges,,4
Norma Rodriguez,,4
Yolanda Collado,,4
Yuri Glez,,3
Braay Solano Muñoz,,4
Leonardo Baez,,4
Margarita Tapia,,4
Juan Carlos Robledo Lopez,,4
Alessandra De La Cruz,,3
Mich Medrano,,0
Laura Gpe,,4
Carlos Quintero,,3
Daniel Garcia,,2
Alejandra Arroniz,,4
Jorge Fernando González Cárdenas,,4
Patricia reyes,,4
Carmen Buendia,,4
Carlos Miranda,,4
Gustavo Azpilcueta,,4
Edgar Mata,,3
jessica garcia,,3
Frida Torres,,4
Yazmin Yañez,,4
julian santillan tapia,,4
Gonzalo Garcia,,4
Omar Padilla,,4
Bautista Resendiz Luis Ever,,1
valmont ccrail,,0
Tenil Páez,,4
ROBERTO AGUILAR,,3
Gerardo Mendez,,3
Manuel Mera,,4
Marco Colin,,4
carlos barajas,,4
Alex Diaz,,4
Carlo Guerrero,,3
