username,review,calificacion
charles lara,"El mayor, un sitio bastante representativo del centro histórico con una vista privilegiada, es un restaurante que promete y cumple en casi todo, tiene algunos platillos estrella como el esmedregal con chile guajillo o las enchiladas de…",3
susuki ruiz,"Gastronomía mexicana de alta calidad, deliciosa. Con una vista panorámica increíble. Vale mucho la pena visitar este lugar.",4
Gustavo Gutiérrez,Excelente servicio. Muy buen ambiente sonoro. La atención es muy buena y el menú es fenomenal. Los cuidados sanitarios son los adecuados. La vista al Templo mayor es fenomenal.,4
Yanet Lopez Sanchez,"Súper lugar para comer, con una gran vista. Los precios son accesibles. Prueben las enchiladas de mole con pato y la sopa de frijol.",4
Mariana Figueroa Palacios,"Bonita vista, el servicio no es. Muy bueno",2
Mayra Katherine Fajardo Vargas,"No requiere que realice Reserva , esta espectacular su Vista. Sus precios demasiado Comodos para el lugar.…",4
Yeni Medina,"Me encanto la vista  es preciosa!! La comida y postres muy buenos, hasta se acercó un pajarito a robarme de mi postre  El servicio e instalaciones fenomenales, ojalá pueda regresar.",3
Carlos Medina,"Excelente vista y muy agradable el lugar, deberian cerrar mas tarde ya que pues salimos de trabajar y ya no pudimos estar mucho tiempo, creo que cierran a las 6 pm",4
Karytips Oficial,"Buen lugar muy familiar , fui a Desayuno , los platillos son Bastante grandes y los precios no son tal elevados aún que tampoco tan barato unos $250 por persona (año2021) Lo único que me faltó es un Menú infantil Siempre lo agradezco ya que voy con mi bb y los platillos al ser tan grandes me los acabé comiendo yo jajajaja , buen servicio",3
Jimena Patiño,"Agradable lugar, se disfruta de un buen desayuno! ",4
Jorge Hernandez,Gran vista al templo mayor. La comida buena. Una mala experiencia con el primer Margarita pero lo demás fue muy bien. Gastronomía mexicana,3
MARIA ALEJANDRA MARTINEZ NEIRA,Super lindo lugar. Una vista divina y llena de historia! La comida super rica !,4
Paty D D L,"Extraordinaria vista, el desayuno rico buena atención.",4
Lina,"El servicio está bien, la vista es espectacular, pero la comida está más o menos. Cecina que comí parece más a bistec que cecina. Albóndigas también son mediocres. Los precios no son caros. Si no eres exigente con la comida, el lugar está bien",3
Marlette Trejo,Rico el lugar aunque un poco caro. La vista es súper bonita y el ambiente también.…,4
Minerva Silva,"Un lugar muy bonito como si estuvieras en otro país, platillos variados, me gustó la sangría con mezcal, los sopes de flor de jamaica, la sopa de flor de calabaza con verduras, el filete de res, el salmón con glaseado , atención amable y…",4
Diana Figueroa P.,"Un lugar con una vista maravillosa, la comida espectacular.",4
Leti Mena,"Es un poco caro, pero la calidad unida a la originalidad y la atención hace una comida singular que no se repite.",4
Lilia Luna,"Es un lugar muy agradable, la terraza es amplia , la comida es rica , la elección fué chile relleno de chicharrón ",4
Carlos Bram,"El Mayor, es uno de los lugares icónicos del downtown de la Ciudad de México. Esto primordialmente por la hermosa vista que nos muestra. Ahí podrás observar desde las alturas el majestuoso ""Templo Mayor"" y podrás disfrutar de una excelente…",4
SAMMI CRAIL,Siempre es un deleite visitar este lugar.... bellísimo y riquísimo,4
Ossiel Benítez,De los mejores restaurantes con excelente vista hacia el templo mayor. Al entrar parece que es un lugar muy fino y caro pero los precios son bastante accesibles para la zona donde se encuentra. Tiene área de café y de desayuno. Recomiendo…,3
Mau Sanz,"Extraordinario lugar! Quedé sorprendido con la vista y la comida es deliciosa. Muy recomendable la arrachera y la sopa de frijol. Una buena carne, un buen vino o simplemente un buen café ... Es el lugar indicado.",4
Karina Bolio Lattuada,"Hermosa vista panorámica del templo mayor. Además de la vista, el restaurante tiene una muy linda decoración. En específico para el tema covid, las mesas están bastante espaciadas y hay muy buena ventilación.…",4
Joel Enríquez,"Uno de los mejores lugares para desayunar, siempre que viene alguien de visita a la ciudad me gusta que empecemos el tour de la ciudad con la espectacular vista del templo mayor desde la altura, ¿y qué mejor que atendidos amablemente y con…",4
Alejandro Solis,"El café, el desayuno en especial los chilaquiles muy ricos y la vista espectacular. Se los recomiendo. Buen servicios.",4
Marco Siller,"Excelente vista del Templo Mayor, muy buena comida y atención. Imperdible del centro histórico",4
HRolando del Rosal T,"Excelente luygar, muy buenos platillos mexicanos, atención. Muy buena ubicación y vista de tres épocas de la vida de México.",4
Fanny Ariana Vázquez Ramírez,"Un grandioso lugar, buena vista, bien ventilado, súper amables y buenos precios. La verdad es que es ideal para desayunar, prueba la cazuela de huevos con salsa de chapulín.",4
Raiden Rayo,"Está muy agradable el ambiente y muy buena atención por parte de los meseros. Precios accesibles, lástima que el horario es corto",4
Omar Bermudez,"Buen servicio, atención rápida y amable, a veces hay que esperar por mesa, pero vale la pena. De 250-350 p/persona aprox (desayuno)",4
Elena Hell,"Excelente! Muy rico y precios accesibles, los platillos son de gran variedad y bastos. Sin duda regresare ",4
Germán Solano,"Los desayunos aquí siempre te hacen quedar bien, la comida buena y la vista es maravillosa.",4
Ketzaly Novares,"El pan está delicioso, a mi desayuno le doy un 6 porque la salsa no sabía a grillos, por el contrario recomiendo la cecina.",2
Fernanda Escudero,"Excelente trato, costos razonables, mi cuenta fue de dos personas, $1200 incluyendo propina. La mayor atracción, la vista",4
Daisy Salazar,En la terraza de la editorial y librería Porrúa se encuentra este restaurante con una hermosa vista hacia el templo mayor y zócalo en el centro histórico de la Ciudad de México.…,4
Liza Romo,"La comida está muy buena, buenas porciones, precio $$$ no es barato, pero tampoco carísimo. Un desayuno aproximadamente 250 p/p Vale la pena conocerlo, con excelente vista al templo mayor.",4
Leonel Antonio,Excelente en todos los aspectos! Un gusto al paladar con vista increíble al templo mayor!,4
GUILLERMO ARCHUNDIA,Buenos días a todos! Este lugar está atrás de la catedral El lugar es muy agradable…,4
Ameli Cervantes,Lugar súper recomendable para disfrutar con la familia. Platillos muy ricos y a buen precio. Excelentes instalaciones y vistas.,4
NeaRocK02,Excelente vista sin duda. La comida genial,3
Jessica González,Vista espectacular y comida rica. Vale la pena.,4
Nidhya Campos,"Un hermoso lugar con vista al templo mayor, excelente servicio ,las mimosas deliciosas , el ambiente muy agradable , música suave",4
chucho delgado,"De los mejores lugares del centro, una vista inigualable y la comida es riquísima, definitivamente hay que visitarlo. Dato, se entra por librería porrua.",4
Daniel Murguia,"Muy buen lugar para desayunar o comer, recomendable al 100%. Sólo hagan reservación o tendrán que esperar 30-45 mins pero vale la pena.",4
IVONNE BERLIE,"Los meseros son muy amables y cordiales, asi como la comida es rica y buen precio",4
Kassandra Mishell,Excelente vista y lugar para pasar una tarde muy amena. 10/10,4
Elena De la Rosa González,"La comida deliciosa, atención excelente y los precios super accesibles. Gaste $400 aprox y tuve comida completa, entrada, copas de vino y cerveza. Además de que su vista es preciosa.",4
Lily Maldonado Paz,"Nunca había desayunado y, definitivamente, no me decepcionó, tan rico como las comidas y cenas, el trato y servicio maravilloso y la vista inigualable, gracias por conservar el servicio y sabor de siempre.",4
Evila Mayén,Buen ambiente para un rato agradable. La comida muy rica.,4
li Jardin,"Ambiente agradable, comida excelente servicio a precios accesibles, instalaciones y servicio de primera",4
Marianitha Rosas,Excelente vista y atención al cliente. La comida está muy rica ,4
Adán Gonzalez,Vista inigualable y los platillos deliciosos. El ambiente es muy agradable,4
DOCTOR EXTERMINIO,"Excelente lugar y muy buena vista, muy buena atencion y los precios son acordes a otros restaurantes de la zona.",4
Yadi Urrutia,"Comida muy rica El servicio excelente El postre, pastel de chocolate muy rico",4
Jesús Lenin Lares Hayashi,Excelente servicio y alimentos. El filete de res estaba un poco chicloso pero aceptable.,4
Victor Leija,"Precios accesibles, ambiente relajado, mucho espacio entre mesas. Tardan en atenderte. Muy buena vista al aire libre. Para reposar de un paseo largo por el centro, refrescarte y platicar.",3
Elías Nakandakara,"Excelente servicio, platos de comida bastos y con buena sazón, su terraza tiene una vista increible . Buen protocolo de higiene. Muy recomendable.",4
Roberto César Robledo Delgado,Excelente vista y los postres muy ricos,2
Jose Luis Martinez Partida,Excelente ubicación y muy buen servy,4
estrella cedeño,"La comida, los precios y la vista de lo mejor, lo único malo es el servicio de los meseros, parece que te están haciendo un favor.",4
goloschidos,"Los platillos muy ricos, la atención es buena",4
Ivan Brito,"Un lugar muy tranquilo, con una hermosa vista hacia el templo mayor y espalda de la catedral. La comida es como tipo snack, dedos de queso, guacamole, alguna ensalada, sopes y quesadillas (queso y chicharron), cervezas, licores, destilados y cócteles.",4
Raoul Grinch,"Excelente lugar en el centro histórico con una muy buena vista de Templo Mayor. La comida cumple con las expectativas del paladar más exigente, las albóndigas con mole y las enchiladas de pato con salsa de durazno son bastante…",4
María C Fernández,"Preciosa vista hacia el Templo Mayor, los huevos con chicharrón y una cazuela de huevos gratinados, muy ricos, así como las conchas en forma de corazón rellenas de queso con ate. Excelente atención.",4
Gabriela Servin,"La vista muy bonita, para las fotos está padre. La comida no tan rica.",3
Estrella Espiña,Buena comida y vistas inmejorables del primer cuadro de la CDMX.,4
Angélica Abreo,Me encanta este lugar para ir a comer y tener una buena vista,3
Ivone Ramírez,"El precio es accesible, la comida buena y el pan de dulce delicioso",4
Cesar Garcia,Tranquilo. Terraza al aire libre y con vista al centro histórico. En la sección de terraza/café tienen algunas botanas y selección de bebidas. De botana hay unos sopes y unas quesadillas de chicharrón buenísimas con tortilla recién hecha ahí mismo. Recomendable.,3
cristina aguilar,"En general está bien, los precios un poco altos pero se entiende por ser zona de turismo. Mi acompañante señaló que el café americano estaba muy fuerte. En cuanto al sazón, es una grata experiencia culinaria. Pedí unos huevos estrellados montados en enfrijoladas rellenas de chilorio y estuvieron muy ricas.",3
Abel Rodríguez,"Excelente lugar para comer y tomar un descanso, mientras disfrutas de una bebida y postre de primera. La vista hacia el templo mayor es única.",4
Lucia Etchegaray,Hermosa vista muy buen servicio. La comida rica.,4
Álvaro López,"Excelente lugar , pero deben mejorar el café",3
ramses leon,"Comida deliciosa, atención muy amable y vista excepcional  prometo regresar hasta probar todo el menú",4
Roy Danel,"Muy rico, precio regular y vista espectacular",4
Cesar B. Aparicio,"Excelente café. Si les gustan las salsas picosas, pueden pedir la de habanero. Los desayunos son variados. Hay acceso con elevador para sillas de ruedas.",4
Noemí González,Delicioso. Ricos todos los platillos que pedimos. En domingo si hay bastante gente pero el lugar abierto ayuda a qué te sientas seguro. Excelente para ir a desayunar si se quiere ir probar platillos diferentes.,4
Jaqui Graciano,"Muy buen lugar, comida exquisita",4
Jennifer Orozco,"Muy bonita terraza, la comida esta muy buena, el personal es amable, se me hizo un poco caro.",3
Miguel Araiza,"Excelente servicio, atmósfera y opción gastronómica",4
Marisela RzCo,"Bonita vista, muy atentos",4
AC VS,"Un increíble vista tiene el lugar, tenía unos años que no iba a la terraza que está ahí mismo pero que es más como un café ya que en esa ocasión no me agrado porque todo te lo daban en desechables y de muy mala calidad y esto hablo de un…",4
adry del rocio,"Buena la comida, precio rezonable para el lugar. Ambiente muy agradable. Tranquilo",4
Elizabeth Uria,Vale la pena por la vista al templo mayor y Catedral. Es un lugar agradable aunque hace mucho calor por el tipo de techo. Se come bien. Las entradas muy buenas pero los platos fuertes regulares. No es barato pero se puede pagar. Las…,3
Roma Hernández Castañeda,Hasta los pajaritos son amables con uno...,4
C gf,"Antes era bueno.. ahora tiene mal servicio, comida tibia y no te traen los tiempos bien (incluso después de pedir lo que falta en 3 ocasiones). Triste ver el declive de un lugar.. yo creo que no regreso",1
Gladys Yazmin Soto Pacheco,"Excelente servicio, los meseros en verdad me consintieron. En el lugar se toman todas las medidas, y la vista que ofrece es maravillosamente bella (Templo Mayor, parte de la Plancha del Zócalo, La Catedral y otras calles) Muy recomendable.",4
Pilar Rojas,"Templo Mayor, se observa desde el Restaurante de la librería Porrua, ubicada en calle donceles y Argentina, sus desayunos son deliciosos, guisados tradicionales y su sabor uffff, se encuentra cerrado el Templo Mayor por la pandemia, sin…",4
Carlos A. Valecillo Ochoa,"La ubicación del restaurante-bar ofrece una de las mejores vistas del centro histórico de la Ciudad de México. Los precios son medianamente caros debido a que está pensado más para visitantes extranjeros que para locales. De todos modos, el…",4
