username,review,calificacion
Elizabeth Franco,,4
Ximena Mata,,4
Yetliany Olvera,,4
Abraham jair Delgado machuca,,4
Jorge Casasola,"Muy caros.los alimentos,y los platillos nada de otro mundo",2
Claudia Spíndola,Los meseros.... se tardan muuucho!!,2
Rayen Burdiles,,0
XBPB 10,,3
Pirlo,El pulpo al habanero uffffff!!!!,3
Erika Madariaga,,2
Alicia Leyva,La atención siempre es buena. El personal es muy amable y siempre tiene recomendaciones para comida o bebida y los platillos tienen muy buen sabor.,4
Christian Ayala,Cómo cualquier fishers buen lugar para comer,2
Marco Ballesteros,"Los tacos de supuesta arrachera con mariscos, deja mucho que desear.",2
Antonio Figueroa,,4
Jesús lopez,,4
Silvia García,Lugar agradable y buen sabor.,4
Ricardo Alarcón,Cada vez peor y más caro mes con mes solo es una opción para beber pero la comida cada vez más mala y cara,1
Maria Alejandra Perez,"Super lugar, me encanta la atención y los platillos muy frescos. Además el ambiente es muy bueno entre familiar y milennial.",4
Adriana Rosas,,4
Alberto Lozano,"Muy buena comida y bebidas, excelente atención,buena música y buen ambiente",4
Fernando Mak,,4
irene angeles,Pésimo el servicio con los meseros !,0
Blanca Ángeles,"Excelente lugar para comer, existe personal para estacionar tu coche, y el personal del lugar muy muy amable!!",4
Alberto Almanza,Nada del otro mundo,0
Elena Sandoval,,4
Rogelio Espíndola Almanza,,4
Bernardo Severo,Se come sabroso,4
Rigoberto Pérez Díaz,Muy sabroso pero un poco caro pero limpio,4
JOSÉ MEDINA LEMUS,Excelente lugar,4
Shads Mancilla,,4
Michelle mich,Tostadas de pulpo   deliciosas Pasta con camarones  muy rica Cóctel de camarón  he probado mejores en sabor y sobretodo presentación y…,2
Laura Alvarez (Laura g),"No es la direccion q marca google,es aun lado ,rejas blancas",2
Salvador Díaz,,3
Carlos Vallejo,,4
Enrique Sanchez,,4
Arturo Beltran Gutierrez,Buenísimo todo! ,4
Ana Olivia Huidobro Márquez,"Ayer me dieron un taco de camaron, pedi de pescado, soy alérgica, ¿quieres que te lo cambie?, como si fuera un favor. Debieron devolverme el dinero, o hacer algo mas.",1
Javier Mdlasalle,"Servicio excelente y los alimentos variados especialmente en pescados y mariscos. En horas fuertes de comida es necesario hacer reservación pues por ser tan bueno se llena, puedes hacer la reservación en su página de internet. Tiene valet parking. Los precios, eso sí, un poco elevados.",4
Monserrat Alvarez,"Pésimo el servicio y la calidad de la comida ya no es lo de antes, pedimos un salmón y tenia espinas lo único que nos dijeron es que no sabían el porque y ya.. no resuelven nada, los precios más caros y la calidad baja",0
Hilda Frausto,,4
Juan armando Rojas Cuetero,"Buenos alimentos, con sazón, tranquilo.",3
Sofia Gomez,A mi familia y a mi nos encanta ir a desayunar. El servicio es rápido y toda la comida deliciosa. Recomiendo los huevos cazuela o los chilaquiles con camarón/mariscos.,4
José Barba,Cómo siempre excelente y buenos meseros y amigos,4
Renata Ponce,,4
Carlo Coello,"El origen de la enorme cadena de Fisher's siempre será el mejor en mi opinión, ahí se sirve el sabor original de sus recetas. En estas épocas su servicio de delivery funciona bastante bien.",4
alonso espitia,,3
Victor Vasquez,,4
Lourdes Grajeda,,4
JULIO Carrera,Excelente,4
Andres Blanco,,4
Samuel Medina,Muy atentos el personal y los mariscos exquisitos,4
Erick Longoria,,4
Pablo GB,,4
Leonardo De La Cruz,Las mejores piñas coladas del mundo mundial; el menú muy bien. A un paso de Ser tradición.,4
erika olmedo,Me encanta! En todo!! GRACIAS,4
Ana Gabriela Ramirez,"Si no la has probado dobladita de pulpo, pídela, de mis favs",3
Rogelio Ortíz,"Fui a comer al restaurante, vi a uno que otro repartidor y los tienen como animales parados esperando su pedido, deberían de ponerles una silla, o algo y el trato que les daban nefasto, en cabo uno como cliente las meseras te tratan y hablan con unas caras, que nunca regresó.",0
martin Perez ceballos,Muy bueno excelente ¡,4
Salvador rodriguez mendoza,,4
José Arturo Arias Sandoval,Solo fuimos a hacer una entrega de producto,4
Luis Rodarte,,4
Joaquín Álvarez,,4
Ale Escamilla,,4
Marco Antonio Herrera,Muy bueno,4
JOSE IGNACIO ORTIZ BRAVO,Muy lento el servicio y jamás me mandaron mi factura.,0
Juan Carlos Camacho Haro,Todo rico desde sus comienzos un clásico. Buenos recuerdos,4
Miguel Exsome,"Rico, excelente servicio, pero carisisimo y más, y poco producto",2
TABATA FUENTES,,4
Raul Gandarillas,,3
Fabiola Cruz,,4
Jose Antonio Castillo,Excelente opción para comer mariscos y echar un alcohol,4
ángel trent,Excelentes platillos,4
Juan Flores,,4
Javier Tenorio,Muy buen lugar para crudear,4
Maura Gabriela Molina Benítez,Muy buen servicio,4
Gabriel Flores,"Excelente lugar, muy recomendable!!",4
NEIDI RAQUEL LUNAR DE LA LUZ,,4
LEKS SAR,,3
José M. Saucedo Mx. Abogado penalista,,4
Marce Delgado,Pedí una pasta con camarón y nada que ver con la que probé en santa fé. Estaba desabrida. Súper caro para la pobre experiencia culinaria que recibí.,1
rubys energy,Muy buena atención,4
David Solis,De,0
Ana Ruiz,,4
