username,review,calificacion
Alberto Suarez,Excelente sabor y muy buena atención todo se merece un 10 vayan y comprueben,4
Gabriela Alonso Ruiz,Muy sabrosa la cochinita y ofrecen unas salsas excelentes a mi me gusta la de mango,3
Federico Romero,"Muy rica cochinita en sus diferentes variedades, solo que en la última visita había muchas moscas",3
Jandros Madrid Motovlogs,Bonito lugar Pero no pidan para llevar Se vacío mi agua sobre las tortillas,2
Karla Rss,Deliciosa cochinita. Excelente atención. Servicio rápido. Precios accesibles. Cuentan con entrega a domicilio cerca de la zona.,4
Nito Awado jc,Buen sabor!!,4
Lilly Kings,"Es un lugar donde solo venden cochinita en tacos, tortas, panuchos y ya. Nada fuera de lo normal y la atención no son muy amables.",2
Imelda Jimenez,"Te hacen consumir agua en la promoción de tacos 2x1 a pesar de que en su folleto de cómo aplica la promoción dice : ""Cada persona que quiera disfrutar de esta promoción deberá ordenar antes alguna de nuestras bebidas O ALGÚN OTRO PLATILLO…",2
Javier Soto,"El concepto está muy bien, únicamente que la atención de las chicas, y la presentación de los alimentos deja mucho que desear.",2
Miles Diler,Muy salada la cochina...,0
Omar Galvez,Servicio rápido,4
Jose Juan Moreno Salazar,"Recomendable, todo muy rico",4
CHARLY MENESES,ECCELENTE SERVICIO,4
El muro del Vago,Muy rico variado y además la atención rápida y maneja las medidas de sanitizacion necesario,4
Ana Luisa Cruz Cortes,Muy rico y presios accesibles !!,4
EDGAR FELIX DIAZ,Rica cochinita,4
Claus Ave,Muy bien trato...,4
Izzie Ch,Muy rico,4
Edgar Félix Díaz,Rica la cochinita. Y limpio el lugar.,4
Yesi Blake,"Tiene buen sabor, pueden mejorar en la higiene, buena atención. No diría que es económico.",2
Claudia Caro,"Cada que puedo pido a domicilio, me encanta!!!! ",4
Alely Angeles,"Pedí a domicilio, me llego frío el pedido tardo mucho tiempo y no siguieron las indicaciones especiales que di",0
Jose Paz,Le falta un poco de zason,2
pedro alberto alatorre romero,Esta muy rico un poco caro pero vale la pena,4
Victor Hugo,"Algo caro, excelente sabor, vale la pena, lo que no me gusta es la forma tan poco profesional con la que aceptan tarjetas, es como si estuvieran haciendo un favor, entiendo que la empresa les cobre comisión por hacer el cobro, pero se me…",2
Tonix hernandez Alonso Javier,Rica cochinita pero el lugar es muy pequeño.,3
Melissa Sánchez Rincón,"La mejor cochinita que he probado. El lugar es pequeño pero espacioso. La decoración es simpática y agradable. La atención es muy buena, muy amables. La tardanza en recibir los alimentos puede variar en qué tan lleno esté o incluso si es…",4
Carlos Olmedo Corona,"De las mejores que he comido, las salsas deliciosas todas, y con un agua de horchata queda perfecto para comer como los dioses, precios genéricos, a lo que debe de costar, ni muy caro ni muy barato.",4
Angel Cruz,"Es un lugar muy rico para comer, el menú solo es cochinita preparada en diferentes formas pero si está muy rica. Es un poco costoso y a veces se siente que no lo vale pero para comer rico está bien. Hay una variedad de salsas de sabores que es un buen plus y el servicio siempre es bueno. Lugar recomendable",3
Martha Guevara,Muy rica comida y excelente atención,4
Ruth Osio Miranda,Delicioso,4
Andres Lusarreta,"Muy rico, buen precio y las salsas maravillosas!!",4
Mamato,¡Tienen miércoles de 2x1 en tacos*! La cochinita es deliciosa y lo sirven muy rápido. Ofrecen salsas variadas y reciben tarjetas y efectivo.,4
Israel Aviles,Muy buena :3,4
Eric Navarro,"Muy buen lugar. Buena comida, bonito, buenos precios y salsas riquísimas. Lo único que le falta es un par más de bebidas ya que solo hay agua de horchata",3
Jhonatan Morphy,La cochinita del lugar no tiene comparación a pesar de que la manejan congelada y la van calentando conforme se necesita.…,4
Melissa manzano morales,"Muy recome dable, esta muy rico todo",4
Itzayana Salinas,Muy rico todo y el precio está bien. Además tienen Uber eats,4
César Iván,Los alimentos bien! La espera más de lo común pero pasa a segundo término si no tienes prisa pues la torta de cochinita está deliciosa,4
Angel Eduardo Oropeza Castañeda,"El sabor de la cochinita es demasiado bueno, tiene muchísimo sabor. Las ideas del menú son muy cool, hay hasta hotdog con cochinita, hay variedad para el platillo. Pero considero que para el precio, escatiman mucho la cochinita. El burrito tiene más lechuga que cochinita, o al menos así sabe.",3
Ximena Beltrán,"Miércoles promoción 2x1 en tacos, con la condición de comprar 1/2L de agua por persona lo cual es justo. El sabor es muy bueno, tienen 4 salsas distintas. El agua no es tan dulce a pesar de ser de horchata. Hay tortas, panuchos, tacos…",3
Victor Lili,"Muy buen sazón y exquisito sabor, además muy buen precio y las promociones los miércoles geniales",4
Eric Navarro,"Muy buena comida, buen agua, buen servicio y precios pero las salsas son medio caras",3
Mariano Sanchez Bautista,Muy rico! La salsa de mango es la mejor!! Los miércoles es 2x1.,4
Fay D.P.,"La comida es buenísima, me parecen buenos precios y muy buen servicio a excepción de que vayas a comprar por kg, de ser así fíjate a penas te lo entreguen que esté todo lo que pediste y cómo lo pediste. La cochina suele brillar por sus deliciosas salsas, todas con habanero pero con algunas variaciones!",4
Sebastian Miranda,"Un excelente lugar, económico y delicioso para comer o cenar, el ambiente es completamente familiar. Los miércoles tienen promoción de 2x1 en los tacos de cochinita.…",4
Abimael San Juan,"Buen lugar todo de cochinita tortas, tacos, quesadillas, tostadas, etc todo muy bueno",3
Edgar Aguilar,Delicioso,4
THE EYES OF NATURE,"Buena cochinita, picosita, jugosa",3
Yess Gallardo,Un excelente lugar para comer y con un servicio súper rápido.,4
Armando Garrido,Se come de una manera deliciosa,4
Yari Cardona,Buena recomendación para comer sabroso y a buen precio,4
Sandy V,Me encanta  todo rico. Mi favorita es la costra!,4
WalterFlaggs,"Les recomiendo el paquete de Cochina Burra con un litro de agua de horchata, buen precio y quedas satisfecho.",4
Octavio Ortiz,No me gustó el sabor de la cochinita.sera porque la probé en Mérida y me encanto,2
Luis Franco Alvarez,Excelente la cochinita. Muy buenos precios. El agua de horchata recomendable.,4
TheSupermaxc,Muy rica la cochina,4
Liliana Del Pino,"Rico, las salsa sabrosas!!!!",3
Vanee Guzman,Esta riquísimo me encantó súper recomendable!,4
Roberto Ponce,Es muy rica! Los miércoles los tacos son al 2x1 :D,4
Carolina Gonzalez,Simplemente excelente!!,4
Connie Rojas,Rica!! ,4
Linda Animas,"Excelente servicio , riquisima cochinita los recomiendo ampliamente",4
Monica Rios,Muy ricos los panuchos  sirven rápido y es barato,4
Richard Campos,Sabrosa la cochinita. Con salsas artesanales,4
Pedro Sanchez,La comida es excelente pero siempre te confunden a la hora de cobrar,2
Elias Cabrera,Los miércoles son de 2x1 y esta muy rico,4
Lulu Carreño Carrera,Muy deliciosa la cochinita y excelente servicio,4
Candelario Alavez,Muy rico,4
Alejandro Tellez,"Mal servicio, lento, tardado. Tienes que repetirle a la mesera tu orden porque se les olvida, los productos tienen poca carne y el sabor no es tan bueno. Si quieres evitarte corajes, no asistas a este establecimiento",0
Rotsen VitMay,Muy buena comida,4
Martin Romero,"Solo los miércoles, tacos para comer en el local están al 2x1. No iguales, pero si el sabor más parecido a lo que se prueba en Mérida Yucatán",4
Gabriel Espino,Un poco más de sazón y estaría excelente. Buenas promociones los miércoles.,2
Kenia Calderón,Muy rico,4
Alejandro Rivera,Exquisita comida y precios súper accesibles! Sin duda lo recomiendo!,4
Eduardo Grimaldo,Deliciosa burra de cochina,4
Yashua Tower,Muy ricas las salsas de lo mejor,3
Raúl Vázquez,"Deliciosa comida, vayan losiercoles 2x1!",4
Nahely Cano,Excelente servicio!,4
Daniel Esquivel Morales,Es muy rico les recomiendo las burras,4
Creandoa Ferzita,"Las opciones a elegir muy recomendables, te ofrecen paquetes que incluyen agua de horchata, las porciones son buenas y el precio accesible.",3
Norma García Rosas,Excelente servicio.,4
Hector Leon,"De los mejores tacos y platillos de cochinita por la zona, precios bajos",4
Juan jorge araujo Juan jorge araujo,Excelente sabor de todo y el agua de horchata es deliciosa,4
Ulises Vizuet,Esta muy bueno,4
Xico Reyes,Excelente lugar,4
Laura Rico Sigala,Buen lugar cochina deliciosa,4
Jorge Magaña Ponce,Muy rico!!,4
CarGx,Tiene buen sabor y los precios no son elevados.,3
Marlena Car,"Le falta sabor a la cochinita, los precios un poco caros",2
Martín Romero,Muy bien,4
Jessica Ojeda,Un fraude el dos por uno y muy flacos sus tacos para el costo.,0
René Adrián Dávila Pérez,Amplia variedad de platillos con cochinita.,4
Hans,Muy rico y a buen precio :),4
Roberto Valadez,"Buen precio, ricos y llenadores los tacos",4
Jesús Abraham Rivera Gamboa,Recomiendo el agua de horchata y los panuchos.,4
Jose Hernandez,Buen ambiente y excelente cochinita,4
Oscar Ziur,muy caro,0
Lilibeth Gonzalez Villalobos,Servicio bueno,4
Nayeli Prior,Rico y buenos precios precios,4
Edward Villasana,Riquísima la cochinita.,4
sonia guzman arellano,Muy buen lugar atenciones,4
Isaac González Arellanes,Lindo ambiente para convivir,2
Alejandro Vega,Buen lugar para comer,3
Carlos Manuel López,Excelente sabor y servicio.,4
Eduardo Peña,Deliciosa,4
Ernesto ValMar,Miércoles 2x1 en tacos ufff,3
David Martinez,Excelente en todos los sentidos!,4
Flavio Martinez,"Ricos tacos, los miércoles los tacos son al 2x1",4
Lucy Anaisan clinic cosmetic ́s,Precios elevados y personal grosero,0
Jessica Gómez,Deliciosa!!!!,3
Erick Herrera Flores,,4
Azucena Iñiguez Gomez,,4
Gustavo Leon,"Excellent flavor and price, the mango sauce is delicious. (Traducción de Google)…",4
Ra Ma Jo Ro ja,(Traducción de Google) Sabrotza (Original) Sabrotza,4
Carlos Enrique Gonzalez Martinez,,4
Issa Jimm,,4
PATRICIA PLCH,,4
Edgar Ruiz Penedo,,4
Neelam Prem Yv,,4
Roberto Perez,,2
Kristian Rosas,,4
Gaby Ramirez,,4
Isabel Gonzalez Cruz,,4
Melanie Vences,,2
BRUNO SMITH,,4
Micke 'S,,4
Alejandro Avila,,3
Ana Aristizábal,,4
Mónica Juárez,,4
Javier Tadeo López,,4
Alan Efraín Ramírez Galindo,,4
