username,review,calificacion
Maria del carmen Cardenas,Cocinan muy rico,4
Luis Diaz,"Es una delicia de comida la que sirven!! Muy buen servicio de parte del personal, muy amables. Muy recomendable a quién esté por estos rumbos",4
Enrique Lombardini Bernal,Muy rica la comida y un exquisito razón oaxaqueño.,4
Aro aro,"Muy bueno , buen sabor . Muy familiar",3
SALVADOR LEON,"Súper rico, me gustó mucho...",3
Gabriela Alonso Ruiz,"Siempre es un gusto poder comer en este lugar, me encanta el sazón y los platillos del menú y del día además del mesero y su maravilloso desempeño",4
Maurice Szyslak,"La comida es buena, les recomiendo la tlayuda y el mole negro, igual llegar antes de las 2 porque se llena o bien pedir a domicilio, el servicio es malo por eso colocó 4 estrellas el mesero y la señora que atiende el teléfono están más…",3
Jair De Jesus,Buena carne,3
Brenda Rochin,Excelente atención,3
DENNY G,"Ha caído un poco la calidad y variedad de los alimentos, pero aún así es una buena opción cuando no quieres cocinar. El servicio es rápido y atento.",3
Mario. Alberto Henestrosa,Excelente lugar y muy buen sazón su único problema es el estacionamiento,4
Gus Ban,Muy rico sazón y el lugar confortable para comer. 100% recomendable,4
Mauricio Reyes,Muy rico todo,3
Silvia Gonzalez,"Variedad de comida oaxaqueña, todo delicioso. Un lugar limpio y respetan los protocolos de santidad.",4
Efren Landin,Muy buena comida regional estaba fantastica,4
Stephanie Jimenez,"Sano, limpio y delicioso. Buena atención  y barato ",4
Angel Roo,"Comida exelente considerando precio , atención buena .....",4
Martha Margor,"Servicio muy rápido y un sazón excelente, de verdad te hacer recordar los sabores de Oaxaca",4
Kah Lel,"Comida convencional, un poco alto su precio, el menú es de sopa, platillo de guiso y pan, el agua la cobran por separado.",3
Larissa Beltrán,Está bien. Es rico aunque un poco caro pero hay variedad de comida. Like!,4
Artuto Palacios,Muy rica la comida,4
Oliver Ortega,Deliciosa la cecina,4
Antonio Castillo,"Buen lugar para comer, servicio eficiente!",3
Francisco Valladares,Excelente ,4
Yanin Ordoñez,Buen servicio. Comida rica típica de oaxaca,2
I. Alejandro De Aquino,"Lo que pidas, lo que sea, seguro estará delicioso ",4
Arturo Martinez,Exelente servicio,4
Oscar Soriano,"Muy cara la comida y el sazón ya es pésimo. ($230 por dos personas) para la zona y la variedad muy caro. El tipo que atendió tiene cara de sangrón. Trajo el arroz muy muy frío, le pedí que lo calentaran y de verdad seguía frío. Luego no…",1
Diana,Gran sazón y un lugar muy agradable.,4
Angel Zero Cruz Ojeda,Deliciosa la comida,4
