username,review,calificacion
Miguel Hernandez,Servicio rápido y atento. El producto fresco y con buen sabor. Los precios medio-alto para la cantidad que ofrecen. Considero que pueden mejorar la iluminación.,3
Pamela MC,Maravilloso lugar! ,3
Israel Morales,Es bueno el menú y hay muy buen precio,2
Ocañita Alejandrina,Amplio cómodo y buena música,3
Nory Santiago,Todo muy rico,3
Gerardo Cabrera (BRONCES ESPECIALES),Jovenes muy serviciales el camarón empanizado muy sabroso y seguro bastante accesible en precio y más los jueves,4
josue miranda,Todo bien. Los camarones a la diabla les falta mucho para ser a la diabla.,3
Ollin Tlaloc Antonio Ramìrez,Excelente lugar,4
Brenda Páez,Atienden bien son rápidos y preparan todo muy limpió y mi rico,4
Zilvia G GTejeda,"La comida está muy rica, lastima del servicio pues es muy lento y deficiente",2
Nancy Peralta,Buen servicio,2
Dann Sánchez,Muy guapo el de las bebidas ,4
Miguel Borges,Excelente lugar todo exquisito y la atención estupenda gran lugar,4
Carlos Rangel,Muy atentos en todos los servicios muy limpio y rica la comida precios muy accesibles,4
Naye Rosas,"Una muy buena opción para comer si andas por la zona, comida rica y de precios accesibles, el servicio de atención es muy buena. En mi segunda visita pedí unos camarones al coco con salsa de mango, la presentación del platillo fue muy…",4
CVD videos,"Amo comer en ese lugar, el precio es bueno en comparación de otros lugares y los mariscos están muy frescos, el sazon es bueno me gusta mucho por qué no es muy condimentado. Vuelvo allí cada vez que busco algo bueno bonito y barato. Un buen lugar para comer",4
Norma Alvarez,Buen día ricos mariscos y limpieza atención al cliente felicidades ,4
Viridiana Martinez,Tardan mucho en atender.... La comida no es de buena calidad Tradan muchísimo en entregar tu cuenta Muy mala experiencia,0
luis perez,"La comida es rica, la atención buena y los precios accesibles. Lo recomiendo, volveré.",4
Selene Millan,DELICIOSO soy su Clienta #1 muy buena atención todo muy fresco y sano me encanta ir los jueves mojarras 2 x 1,4
Luis Angel Peña Martinez,Muy bueno todo,4
goyo mancilla,Bueno y barato,3
maria rosales,Todo muy rico excelente atención,4
Jonathan Lopez,"Excelente servicio y atención. La comida muy rica, precios accesibles. Los helados artesanales los recomiendo mucho.",4
Eduardo Arias,Relación precio calidad inigualables. Calidad de mariscos frescos y en buena porción. Solo sugerencia tener refrescos sin azúcar o light.…,4
BR Gomez,"Buena atención pero le falta un poco de sabor a la comida, el arroz excelente y lugar limpio.",2
Tania Salinas,Es un lugar limpio y se come muy rico,4
Mony Hdz,Es un lugar donde te atienden bien pero sus promociones no son tan válidas ya que dice jueves de mojarras y cuando llegas dicen que ya se acabaron,3
Javier Lopez,"El lugar es sencillo pero los platillos estuvieron bastante bien, buena atencion y buen precio",4
Leticia Ramirez,Excelentes empanadas!,4
José israel Hernandez caudillo,Buenos mariscos....,4
Jose Salinas,Muy rico,4
Elias Flores,Está muy fácil de llegar ,4
oscarperezlys,"Buen servicio, el sabor de los platillos es bueno comparado con el costo",3
david balcazar ramos,"En mariscos Yo tengo un buen gusto y me concidero con un pasar exigente , mmmmm son buenos",3
Felix Hdez,Muy rica comida y buena atención,4
Gabriel Angel Sánchez,"Un lugar amplio, el personal siempre está atento al momento de llegar para tomar tu orden, los alimentos siempre bien preparados, de manera higiénica y con buen sabor, la relación calidad/precio/ porción bastante bien!…",4
antonio Arreola,Buenas mojarras,3
Antonio Colin,Buen lugar. Muy familiar y excelente aten ion,4
Eu,"Es rico tienen mucho espacio casi no se llena ahorita en cuarentena solo hay servicio para llevar, puedes esperar adentro el clima dentro es fresco el precio es lo normal en ese tipo de establecimientos",4
Dulce Euliana Gerónimo Márquez,Todo rico excelente servicio,4
jose luis villa gomez,Falta un poco de más sabor a sus guisos,2
El uber viajero,Pues la comida para llevar te la avientan en vasos jajaa,1
Juan Manuel Hernández,Muy bueno el caldo de camarón y las pescadillas ahora hay q ir por esas mojarras,4
Eric De La Cruz,Excelente atención.,4
Rodrigo Leonardo Lopez Hernandez,Buen lugar para comer mariscos a buen precio y los jueves de mojarras 2x1 excelente,4
Jaime Vargas,Se come bien y el precio accesible,4
Pablo Alejandre,Rico pero falta probar mas!!!,3
oscar ortiz,Excelente comida si van pidan la arrachera de mariscos ,3
DULCE CASTILLO,Excelente lugar,4
Liliana Torres,Muy rico y buen precio,4
Nina Dom,Bien,2
SALVADOR LEON,Rico y precios justos..,3
Cesar Montalvan,"Todo de excelente calidad y atención, próximo a regresar al aniversario en noviembre",4
kesito sanchez,Excelente ...por ser cumpleaños de mi papá nos regalaron un pastel...,4
Janeth Cárcamo,Muy amables! Todo muy rico !,4
Manuel Canizales Vian,Por su buena atención y el buen sabor de sus platillos.,4
Phyix Mx,Rico y económico,4
Alejandra Sánchez,Un lugar. Espectacular .. ,4
Aleisster Curiel,Excelente lugar... Excelente servicio,4
Patty Rose,Camarones al mojo de ajo best ever!,4
Armando García,Muy buena comida y bastante amables.,4
Sigfredo Palafox,"Excelente servicio, precios adecuados y espacio amplio",4
flexovic,Precio un poco elevado y comida aceptable,2
Eddie Alan,Muy buen servicio y la comida está deliciosa gran variedad de platillos combinación entre calidad y precio,4
luis lopez,Todo bien solo que hay que esperara que preparen los alimentos,3
Niceforo Martinez diaz,Está muy bien todo muy rico me gusta el caldo De camarón c pescado,0
Fris Jiménez,"Rico para comer, buen servicio, debería ir más genre",2
