username,review,calificacion
Krisstal Matilde,"Comida deliciosa y qué buen ambiente, tranquilo, familiar y limpio.",4
Felipe Gómez Herrera,Muy rica comida acompañada de buenos tragos. Precios muy accesibles.,3
Victor Ramos,"Sabroxo, los chamorros con madre",4
Miguel Maceda,El mejor botanero. Toma tus tres copas o cerveza y come todo lo que puedas de la carta.,4
Lorena Gomez,"Excelente lugar para echar trago con los amigos, excelente atención",4
Julius Cruz Rivera,"Exelente lugar para tomar un trago y comer, la comida es muy buena y el servicio magnifico, muy amables y rapido, el lugar es muy limpio aunque algo pequeño, la coctelería falla un poco ya que sirven las bebidas un poco ""cargadas"".",3
Guillermo Manzo Carrillo,Es excelente la comida y la atención,4
Javier Trujillo,EXCELENTE SERVICIO Y MUY BUEN SAZÓN,4
VICTOR A. GARCÍA OLGUÍN,excelente servicio.. comida muy rica. lo recomiendo,4
Gerardo Reyes,"Buena atención, buenos precios, comida rica, me gusto, un lugar agradable, vayan a tomarse sus chelas o unas cubitas, esta bien para una platica agradable",3
Ixe Martínez,"4 años esperando conocer este lugar y valió toda la pena, comida deli y tragos bien servidos, el Barman tiene la manita pesada !",4
Fernando Ortiz,"Buena comida, buen ambiente, buenos tragos.",4
Claudia Ortiz Gutiérrez,"La comida muy rica, el ambiente tranquilo, el personal muy amable sobretodo el dueño, nosotros fuimos a festejar un cumpleaños, incluso pasamos con dos bebés, la pasamos muy bien! Definitivamente recomendable!!",4
itzel vargas,"La comida es muy rica, siempre hay un menú diferente. La atención es buena y puntual. Y están teniendo todas las medidas de higiene que te brindan confianza de comer en el lugar.",4
Gabriel Fernandez,Te dan un solo platillo y se consumieron más 10 tragos entre 2 personas,2
Gabriela García Ramírez,"Comida rica, todo tipo de alcohol. Medidas de sana distancia y con protocolo vs covid",4
Miguel Arellano f,buen servicio,3
Blade Quiroz,Un lugar para platicar con los amigos ,4
Mauricio Reyes,"La comida está muy bien, pero ya no alcanzamos por lo que fuimos (chamorro y lengua) luego me ofrecieron quesadillas, mientras pedí una entrada y enseguida pedí las quesadillas, ya no había. Me llamó la atención que a comensales que…",2
