username,review,calificacion
Susana Roldán,"Super delicioso, todas las medidas de protección y espacio muy cálido",4
GAS Médico,"Buena comida, se prepara en 3o momento todo, y está excelente",4
Francisco Hirata (Kononochi Entertainment),"Es un restaurante ubicado dentro del hotel Villa Quijotes, muy cerca de la Basílica de Guadalupe. Es una excelente ubicación. Las instalaciones son muy limpias y agradables, el servicio es excelente, pero…",4
Fredy Gutierrez,Buen lugar para desayunar en familia buenas atenciones menu no muy extenso pero todo muy sabroso y a buen precio con lugar de estacionamiento,4
Ana Diaz Lopez,"Super atentos, excelentes anfitriones, se preocupan por todos los detalles!!",4
Ibeth Mp,"Siempre voy a eventos especiales y por lo tanto la atención es muy personalizada, tiene disposición para realizar tu evento acorde a tus necesidades aunquelos precios no son muy negociables. Los alimentos son buenos y las porciones adecuadas, el lugar es limpio y ordenado.",2
Karla Paola Vazquez Flores,"Esta última vez que fuí me pareció que les falta por lo menos dos guisados más en el bufette Ya que sólo había 2 opciones a elegir más fruta, huevos, hot cakes, quesadillas sopes etc buena atención por parte del personal y buen ambiente",3
Guillermo Gazanini,El servicio de primera personal muy atento presentación del platillo muy bueno y no se diga de su sabor un 10 para el cheff,4
Brad Baco,"Muy buen servicio, el ""bufet "" no fue de mi agrado.",3
Juan Carlos Gomez Tagle Boix,Un gran saludo y muy buen servicio gracias,4
Rayito Tovar,Un restaurante con diferentes de desayuno muy bien surtido. Y un sazón muy rico. Se encuentra SERCA de la basílica este butet es solo sábados y domingo.…,4
Jamel Hernández,"Es un excelente lugar, la atención es encantadora y la comida riquísima.",4
Hugo Cárdenas Hernández,"Buena comida, buenos protocolos en pandemia, excelente servicio.",4
profesor esquivel,Buena atención y buen sabor,4
Jorge Velez,Muy buen Servicio y Estancia excelente,4
Salvador Sandoval,"Excelente servicio, bien los alimentos, el lugar muy agradable.",4
daniel ramírez,Comida rica y personal atento. Cuidan mucho la higiene y el espacio entre mesas es adecuado.,3
Hector Ricardez Mendez,Excelente lugar,4
Daniel Falcón,Muy buena atención y precios excelentes.,4
Jorge A Flores Quintana,Excelente servicio.,4
Ismael Castro,Restaurant regular los cortes de carne no son los que esperas....,2
Ismael Carmona,Pasan los años y el lugar no modifica su calidad y su servicio. Los alimentos son muy buenos solo superados por la atención del personal.,4
Adriana Espino Ramos,"Un lugar tranquilo con una excelente atención, y poder compartir con amigos y familiares ",3
clauida orellana,"Este lugar cumple todas las expectativas, súper recomendable",4
Raul Herrera,"En el desayuno es bueno, sus tazas de café son muy pequeñas. Bueno en general.",3
Viry Cruz,"Excelente lugar para ir en familia, cuando visitas la villa de Guadalupe está súper cerca, cuenta con estacionamiento, si quieres festejar algún evento desde cumpleaños o bautizos como fue mi caso, es excelente lugar. Todo el personal es…",4
kellyHG,La comida está muy rica y el buffet vale mucho la pena,4
Miguel Angel,Excelente bufete.. Variado... El servicio... Todo muy rico...,4
Claudia Luna,Excelente servicio y muy rica toda la comida.,4
Eduardo A. Celis,"Cuenta con estacionamiento propio, el lugar es limpio, tienen buena variedad en el buffet y la comida tiene buen sazón. El mobiliario no se ve desgastado o roto al igual que la loza, vasos y cubiertos que es un buen punto.…",3
Karla León,"Riquísimos los chilaquiles, excelente atención y amabilidad, buenos precios. Rápido servicio. Un buen lugar para desayunar si estás por la zona.",4
arthur quintero,"Los guisados son muy básicos, tienen huevos al gusto, jugo, pan y chilaquiles todos los días",3
Fabiola Huerta Garcia,La comida muy sabrosa,4
Ira Almaraz,Me encantó. El servicio excelente. La comida muy buena y las bebidad6ni se diga. Buen ambiente. Lo recomiendo altamente.,4
