username,review,calificacion
Mr_Bran Strange,"Muy ricas las tortas y el lugar muy limpio, vayan y coman.",4
jorge miguel soriano,Buen servicio,2
Axel Gorostieta Millan,"La comida no se me hace buena y lo unico economico es la comida corrida y no es muy buena lo demas es muy malo pedi una hamburguesa y la carne era demasiado pequeña y era muy mala a parte la ""musica en vivo"" solo hace que te pongas de malas…",0
ariana be,"Pésimo servicio a domicilio, una hora y fracción esperando mi comida y nada, llamé en repetidas ocasiones y comentaban que ya estaban enviando los alimentos, en la última llamada me dicen que estuvieron tocando y gritando (lo que fue una…",0
Carlos Paz,"Buen sabor, pero servicio lento y poca amabilidad de los trabajadores",2
DANIELA VANDALA,Excelente servicio y muy buen sabor de la comida ,4
GUADALUPE TORRES,"Es comida corrida y platillos a la carta no caros, comes bien tienen promociones en la semana..jueves de pozole, sábados de hamburguesas y domingos de enchiladas. Buen sazón es un negocio de años que no deja de buscar la forma de mejorar.",3
Octavio Diaz,"Muy buena comida, les falla en la entrega a domicilio.",4
Jonatan Lara,"Buena variedad en el menú, la atención es rápida y tienen envío a domicilio. El pozole es muy bueno",4
Antoniochop-MX 54,Aqui no limpian luego las cucharas caminan por la comida,0
Ciber Joe,"Pozole rico así como las tortas y mi preferido el papongo, si te late las papas con chuleta y queso, no dejes de probarlo",4
Jorge Villaseñor,"Opción adecuada para comida rápida mexicana. Tortas, tacos, alambres, etc",2
Citlali Melchor,La comida es deliciosa y tienen un excelente servicio!! Clientes frecuentes de hace más de 10 años :9,4
Mario Lopez,"La comida es muy rica, sin embargo la atención deja muchísimo que desear, las personas que atienden han sido prepotentes y un poco groser@s. Excelente comida, pero mal servicio.",2
Mokiyami Sanchez,Buena opción para comer,3
jose alberto hidalgo alvarez,"Limpio, buen precio de sus produtos y hay variedad de alimentos que quieras pedir.",4
Gat Hatake,La comida es rica pero tienes que tener mucha paciencia ya que se tardan un poco en atenderte,3
LIC. JORGE GARCIA,Muy buen sabor,4
Samael Peralta,Buena comida y servicio.,4
Benja Mtz,"Excelente servicio, atención y sus promociones mucho mejor. Súper limpio,local mesas,personal. El pozole excelente. Buen precio paro lo deseado. El personal muy amables. Los recomiendo los fines de semana.",4
Fer Hernández,Es muy agradable y muy buen restaurante me acaban de poner música en vivo de ALBERTO LUKE Y EL SHOW DEL MINI LUKE,4
