username,review,calificacion
Roberto Causor,"Muy buena la comida ,mis enchiladas estan deliciosas y unos huevitos rancheros muy sabrosos.y la atención formidable …gracias por su atención.",3
Lolita Sandoval,Todo muy rico!! Excelente servicio!! Muchas gracias,4
Everardo Rodriguez,Muy buen servicio muy buena atención con la señoritamuy buena atencion por la señorita aris si lo recomendaria gracias,4
Xitlaly Romo,"Muy buen servicio, comida muy rica!",4
Marcos Luna,"Excelente servicio, muy rica la comida y bastante atentos con los datos de facturación, además aceptan Amex!!!",4
Alina Báez Ramón,"Excelente servicio, todo muy rico.",4
Profeta David Navarro,Muy bueno el pollo adobado. La atención de Ricardo fue puntual.,4
Dulce María Morales Delgado,Excelente servicio,4
Andrea Talabera,Muy buen servicio,4
Jesus Alberto Morales Mendez,La hamburguesa deliciosa y la atención excelente. En lo que sale el siguiente vuelo.,4
Luis Miguel Salgado,"Buen servicio; hay muchos alimentos congelados o “frescos” de días anteriores, sándwiches, baguettes, etc; hasta las 5am empiezan a preparar los alimentos calientes. Los precios son caros (típicos precios de aeropuerto), cuando hay poca…",4
Tere Arcos,"Todo excelente! Servicio cordial, amable y rápido! Justo lo que se necesita en un aeropuerto. Solo me hubiera gustado más opciones de comida mexicana para viaje de despedida!",4
ana vizcarra,La atención excelente y siempre al pendiente del cliente !!! La opción perfecta de comer algo antes de viajar !!!,4
Oyuki Ang Anaya,Rica comida y excelente servicio!,4
Jenny Garcia,"Muy excelente servicio!!!! Buena atención, rica la comida ,  los felicito, soy extranjera del país de el salvador, y estoy muy agradecida y sastifecha.",4
Ines Perez,Muy excelente servicio rica la comida,4
Graciela Ramos,"A sido una gran experiencia al ir a este comedor por la razón que la comida exquisita me hace recordar a lo sabroso que es la comida de Mexico. Se los recomiendo amigo/as, comida fresca y muy rico. Me llevo una gran experiencia en este viaje. :)",4
Marcelle,Visite Salute Internacional! Muy rico y el servicio fue espectacular gracias a el mesero Tomás,4
Loredana Bernal,Muy buen servicio,4
Marco Rivera,"Salute internacional, muy buena atencion, la comida fresca y con buen sabor. Recomendable 100%",4
Orfelinda sanchez Es,Me gusto mucho el sanwich,3
Wendy Estefany Cruz Tarazona,"Vine a Salutte Internacional y me atendieron super bien. Comida rica, muy atentos a las consultas que uno puede tener, calidos, y buen manejo de medidas de higiene. Muchos éxitos.",4
Nataly Garzon,"Gracias por todo, excelente atención de todo el personal en especial de Ricardo.",4
Julian Martinez,Muy rico! Y muy buena atención!,4
Ross Lopez,"La atencion y promocion de alimentos muy buena y la preparacion de alimentos muy adecuada, es una buena experiencia venir aqui.",3
Henry Betancur,"Buen trato , la comida excelente me encanto los tacos, buen servicio .. súper recomendado",4
Jose Xochimitl,Salute Internacional es mi lugar favorito antes de abordar mis vuelos. Gran servicio de todo el equipo.,4
marilu portela,"Exelente servicio, todo muy delicioso con ganas de regresar Nuevamente 100% recomendado.",4
Julio Romero,Excelente comida y servicio aca en el Salute internacional. Muy recomendado,4
Claribel Camacho,"Visite Salute Internacional. Estuvimos en Playa del Carmen una semana, viajando de Cancún a México DF con destino a Chicago Illinois. El servicio fue excelente y amigable, el consume de pollo con vegetales y arroz en adición al plato principal fue DELICIOSO!!! SE LO RECOMIENDO!!",4
Beto Elosegui,"Excelente servicio y calidad! Aquí en el aeropuerto de la capirucha, terminal 2, en Salutte internacional!",4
Demci Arnoldo Lopez Villatoro,"La comida estuvo bien, el trato de los camareros inmejorable, un buen lugar para esperar la conexión en el aeropuerto.",4
Monica Contreras,"Estuve en Salute Internacional ,excelente atención y servicio el desayuno muy bien, café riquísimo",4
Jose Salas Jr.,Buena comida y servicio! Gracias Thomas de Salute international!,4
Luis Islas,"Salute Internacional, Excelente servicio y muy buena comida. Recomendado ",4
andres gomez,Buena comida Buen lugar excelente servicio,4
Valeria Benitez,Gran lugar cuando todo esta cerrado en el aeropuerto. Esta agusto y en estos tiempos ofrece un refugio donde tomar chelitas,4
Andres Villalobos,Excelente servicio en salute internacional,4
Mónica Mesa,Excelentes los Tacos de Carnitas y la cerveza artesanal Corazón de Malta. Muy buen servicio y buena sazón. Perfecto el lugar para comer algo ligero antes de tu vuelo,4
juana alicia benavides cuevas,Buen Día Excelente atención y muy rico almuerzo.,4
Gerardo Hernández Topete,"Hola, muy buena comida y atención. Lo recomiendo. Mauricio te hace sentir en casa.",4
javier ramirez bermudez,"Muy rapido, buena calidad de comida y excelente servicio",4
Fernando Velázquez,"Excelente servicio,gran variedad de alimentos , con buena higiene y muy rica la comida",4
Roberto Rochin,Buen servicio rápido eficiente amable y chicas lindas!,4
Diegolazo Ocampo,La atención de Ernesto fue muy buena.. los felicito.. y los tacos muy ricos . La salsa es especial... Excelente!!!!,4
Roberto Villalobos,"Muy buen servicio y la comida muy rica, el personal muy agradable.",4
Rafael Rodriguez,"Excelente servicio, platillos muy buenos, buen ambiente e instalaciones cómodas. Muy atento personal, sobretodo el servicio de Ernesto. Muy recomendable.",4
Haidee Pages,Muy rica la comida y buen servicio.,4
Miguel Angel Soto Gaxiola,Muy buen lugar ... excelente servicio y buena comida. Rápida y sabrosa.,4
Mario Ortiz,"Es un lugar muy agradable, buen servicio. Muy tranquilo,buena música,muy atento todos. Les recomiendo el lugar ",4
Gabriella Koo,"Me gusta el ambiente y la música, el mesero super atento, la comida excelente!! Muy recomendado!",4
Mike Lopez,Excelente servicio atención sr Tomas,3
EDUARDO Orozco,"Buen lugar para comer, buena atención, agradable para esperar tu vuelo en las salas de 52 a 56",4
Sandra García Jáuregui,"Gracias , me gusto el servicio me atendió Angelica muy amable y servicial y lo que pedí desayunar me gusto , rico y abundante . Si volveré .",4
