username,review,calificacion
Carmen Silva,"El San Ángel Inn es uno de los mejores restaurantes de la Ciudad de México. Es una hacienda colonial convertida en restaurante. El lugar es muy amplio, bello y cuidado.…",4
Time Out México,"Este espacio es una atracción turística en sí misma: ex monasterio, ex hacienda colonial, ex hotel, ex espacio universitario (aquí estuvo parte de la primera Ibero) y finalmente, restaurante… un escenario por el que ha pasado todo aquel…",2
Liliana Herrera,"El Recinto es Hermoso!!!!! Están cuidando las medidas de higiene y seguridad debido a la pandemia ; hace 7 meses fui y me quedé con una muy mala impresión y los califiqué con 3 estrellas; regresé, y el servicio fue excelente, los alimentos excelentes, la calidad de los alimentos y la cocina excelente!!! Felicidades!!!!",4
Andre Camus,"Un hermoso restaurante construido sobre la antigua hacienda de Goicoichea. Tiene varias secciones diferentes donde comer, y en los cuales hay algo diferente que apreciar. La parte Central es la más bonita por el hermoso jardín que hay y la…",4
Just Merino,Toda una experiencia!!!! Hermosa hacienda adaptada a un excelente restaurante con un menú. Tradicional mexicano pero creo que muy innovador. Excelente atención por parte de su equipo !!! Sin duda de los mejores restaurantes de la zona!!!,4
Leti Mena,"De toda la vida. Atención, cocina y sobre todo entorno:. Exquisito. Es mi favorito de la ciudad.",4
Montserrat Soo,"Las medidas sanitarias no fueron las correctas por tema de covid. Todas las mesas ocupadas y muy juntas a pesar de ser un área abierta, no me pareció correcto. La comida deliciosa como siempre y buen trato!!",4
sofia cervantes,"Fue una grata experiencia, en específico asistimos a desayunar en el ""Gastronome"" y puedo decir que es el lugar más ""sanitizado"" que he visitado en estos tiempos difíciles, limpian perfectamente todo: el lugar donde se sentará uno, los…",4
Alejandra Alcantara,"Lugar padrísimo en el jardín, comida buena, precios elevados pero vale la pena",3
juanyva,Recomiendo el jardín posterior brinda una maravillosa vista y pueden comer alejados del bullicio,4
Jesús I. Hernández Cruz,"El trío de cuerda en vivo, el estilo exclusivo y la tranquilidad que se respira al aire libre ayudan a que pases un agradable momento y disfrutes la comida.",4
Santiago S,Comida espectacular. Local muy gran y acogedor. Muy recomendable.,4
Julia Denegre,"Tradicional y elegante restaurante de San Ángel, ubicado en una casona histórica que fue parte de una hacienda colonial, y utilizada por los jesuitas como parte de la Universidad Iberoamericana, entre otros.…",4
Lbx Njr,"Deliciosa la comida, 3l ambiente, la atención. Tienen un amplio menú. El personal siempre muy atentos y amables desde la entrada hasta quien te lleva la comida a tu mesa.",4
Oscar Ricardo Aviles Vazquez,"Muy buen servicio y la comida increíble, recomendable en familia.",4
Mitchele Vidal,"Un clásico de CDMX con un menú amplio y exquisito, atención profesional en una casona mágica. Súper recomendable ",4
Rodolfo Graziano,Un lugar bellísimo y agradable. Los espacios son magníficos y los jardines inigualables. Buena comida y muy buena atención. Definitivamente no es el lugar más económico de la Ciudad de México. Una experiencia digna de repetir.,4
Andrea,"Súper a gusto el lugar, tenían música en vivo y la comida muy rica ",4
Karina Sánchez,"Uno de los restaurantes que son icónicos en la CDMX me encanta su sabor, presentación de platillos y el lugar es increíble. Quien visita México, tiene que ir a este lugar para registrar la gastronomía mexicana en su corazón!!",4
Fatima Jardon,"La hacienda está preciosa, muy grande lleno de flores. La comida está muy rica todo nos gustó mucho y el cafe muy bueno. El servicio regular, reservamos para la terraza pero al final nos llevaron a otro lugar que no era. Cuando reserven indiquen que quieren la terraza principal.",3
Hugo Esquivel,"Comes delicioso!! Parece caro, no tanto...",4
maria ines salazar,Excelente lugar..solo un detalle ..que me pasó al bajar para salir para tomar el auto ..hay un escalón a desnivel y me caí.. y pues esguince de primer grado por fortuna para mí...espero que pongan algo que delimite esa área.para que a otra…,4
alfredo contreras,Exelente atención y gran variedad en su gastronomía,4
Vane Pardo,"Muy lindo el lugar, la atención excelente, la comida es buena, por lo que regresaría es por el aderezo de cilantro de la casa es delicioso!!",3
Miguel Sánchez,"Un lugar delicioso para desayunar y disfrutar de una mañana con la familia. Sin embargo, entre semana lo recomiendo para reuniones importantes o negocios.…",4
Santiago Maya,"Un hermoso restaurante construido sobre la antigua hacienda de Goicoichea. Tiene varias secciones diferentes donde comer, y en los cuales hay algo diferente que apreciar. La parte Central es la más bonita por el hermoso jardín que hay y la…",4
Elena H,"La comida está rica pero presentación deja que desear, servicio bien, calidad precio: no estoy muy convencida de que tengan un balance a su favor.",2
Elizabeth Diaz-Soto,"Hoy vine a desayunar, “Veranda” es una sección que se ubica en la parte alta con una terracita con fuente y un salón tradicional. Excelente atención y variedad de platillos, la panadería es deliciosa, buen café , pedimos huarachito con cecina y machacado en salsa roja. Deli.",4
Rodrigo Azueta,"Muy rico, excelente servicio y aplican muy bien las medidas de contingencia.",4
alex de beraza,"Desayunos, comidas o cenas, siempre la mejor cocina mexicana. Un lugar increíble, en una casa rodeada de jardines con la mejor atención.",4
Jose Ernesto Gutierrez Lozano,"Un clásico de la ciudad de México, excelente servicio y una carta con platillos clásicos, precios razonables.",4
Estefania Aguirre,"Excelente experiencia, México siempre nos trata bien, su gente es maravillosa. Recomiendo la entrada de escamol... toda una novedad para nosotros que estuvimos de paso pero aprovechamos para disfrutar de la comida, volveremos.",4
Luis Porras,"Un lugar icónico, templo del saber hacer....siempre es un placer volver",4
Alma Del Angel,Deliciosas margaritas y jardines preciosos para disfrutar de una buena comida o desayuno. ,4
Jose Luis Rodriguez,"Siempre merece la pena disfrutar de este lugar, sus jardines, el servicio... todo es un disfrute. Lastima que algunos platos, como los tacos de camarón, no estén a la altura.",3
AlUejandro Bucio,Muy buen servicio. No puedes fumar al aire libre. Solo en área designada muy lejos de los demás. Sí no eres fumador excelente lugar para tí. Si eres fumador o tus invitados escoge otro lugar.,4
monica ayala,"No es tan caro como se piensa, la calidad la mejor , el pan delicioso, los chilaquiles con arrachera súper! El café lo cobran por taza, cada vez que pides más , así que disfrútenlo....",4
Lila Landeros,"¿Qué les digo?, es un restaurante con años de Historia, para brunch y comida las mesas en el jardín son obligadas y para la cena, definitivamente la terraza. Tienen muy buen servicio. Los alimentos en general están bien, nada espectacular, la experiencia es en cuanto al lugar y lo que significa.",2
David Antonio Flores Gonzalez,"Excelente lugar, los desayunos y el pan muy ricos, la atención de primera, muy bonito y comodo!!!",4
Joan G,"Carísimo para lo que es. Te pegan buena clavada por muy poco. Ha mucho perdido nivel en estos años, en absoluto es lo que era. Salimos a 1300 pesos por cabeza con entrada y platillo de lo más sencillo... y el sabor regulero. En relación…",0
Rosahilda Ber,"La comida como siempre excelente y el servicio de lo mejor, es mi Restaurante favorito...",4
Isela Ruiz,"Actualización COVID-19: El lugar es una hacienda de aire antiguo y decoración acorde. El servicio es excelente, los meseros usan cubrebocas y careta y las mesas tienen una disposición…",4
Anita Pane,"Hermoso restaurante mexicano con gran jardín para comer al aire libre. Los platos vienen rápido, el personal atento pero disperso, hay que tener paciencia. Una entrada, una sopa y un plato principal con una Margarita y una limonada 1200 pesos mexicanos...",4
dpm ingenieria biomedica,Desayunos muy ricos ena gran atención y un Lugar muy clásico con un bonito jardín yo siempre para valorar un lugar por primera vez pido chilaquiles y así comparar con otros restaurantes y aquí se sacan un diez en chilaquiles están ricos los recomiendo mucho,4
Zulema Torres,"Muy bonito lugar, muy rica comida.",4
guadalupe bermudez,"Bastante decepcionante: Los chiles en nogada con una ""nogada"" hecha de crema batida de color rosado y sin ningún sabor a nuez, además de que uno de los chiles no estaba bien cocido, lo que pudo ser resultado de que tuvieron que cambiar uno…",0
Sara Benítez,La terraza más acogedora de San Ángel. La comida está deliciosa y el precio justo para la calidad del producto y el excelente servicio.…,4
Marcela Toscano (March),Un lugar increíble!!! Muy buena atención y la comida excelente!!! Una gran opción!!,4
Paulina Reyes,Delicioso y extraordinario servicios Me encantó el lugar,4
Romi Aguilar,"El lugar es hermoso y la atención es buena sin embargo, el menú es muy pequeño y los precios son demasiado altos para el sabor que es promedio. Los postres son malos y nada que ver con el país. Tienen muchas áreas a mejorar.",2
Tango Delta,Muy buen lugar para una comida de negocios o familiar,4
Alexis Horacio Loza,"Buen restaurante, la terraza es muy buena y agradable",4
DELIA GARDUÑO LEÓN,"Bello lugar , buena atención y magnífica comida",4
Ricardo Falla Carrillo,Deliciosa comida. Y atención de primera.,4
