username,review,calificacion
Pamela Cuevas,"Los desayunos están a precios accesibles y son ricos. Te ofrecen jugo o fruta, dos tazas de café y el platillo.…",4
MG AG,"Es lugar agradable y acogedor. El servicio es bueno, cuentan con las medidas de higiene. La carta es variada, tienen desayunos, pan casero, de lunes a viernes cuentan con menú ejecutivo y cuentan también con mariscos. No hay valet parking hay que buscar por ahí pero la zona está linda.",4
maag Maag1987,"Lugar con tres b,los costos son accesibles, mucho mejor que un vips o cadenas del tipo a un precio más accesible o igual pero con mucho mejor calidad, el lugar es bonito, pero no es muy grande, fines de semana muy lleno, tiene opción de mariscos los sábados.",4
Laura Urban,"La comida rica, bebidas excelentes ,el lugar limpio , bonito y sobre todo la cordialidad de su personal lo hacen el lugar favorito.",4
Becka Ramirez,"Muy rico los alimentos, buen servicio muy amable el personal y muy atentos",4
KARLA YOALHI MORQUECHO SALVADOR,"Excelente lugar para pasar una tarde amena, el sabor y la atención son de primera, altamente recomendable",4
Josué Sosa,"Bonito lugar para café y beber un chocolate, pero no fue tanto agrado los alimentos, el jugo de naranja estaba muy rebajado con agua, pero esta cool para tomar un café.",2
Luis Caravantes,"Fuimos a festejar el cumple de mi mamá, tardaron mucho en servir la comida, la arrachera estaba tiesa de que se pasó de freír, lo peor los vasos aún pequeños de jugo de naranja rebajados con agua y un solo bolillo para todos, pedí más y…",1
Erick Langagne,Excelente lugar,4
Claudia Najera,Preparan de comer muy bien. Porciones que satisfacen. Siempre atienden muy bien.,4
Margarita Mtz,"Lugar tranquilo, limpio & cómodo. Precio accesible, buena atención, comida regular nada extraordinario más una comida cotidiana. Sobre todo con medidas esenciales de seguridad para estos tiempos.",2
Sandra Ortega,"Excelente ambiente, lugar cómodo, buen servicio, amables y súper atentos. Protocolos de sanitización y limpieza súper recomendables.",4
natalia casillas,"Muy buen lugar, los precios muy accesibles por la porción que te llevan. en cuanto al sabor lo normal, nada extraordinario pero tampoco mal, algo común, el servicio fue excelente, la atención de su personal fue muy amable en todo momento y fueron muy atentos, el lugar está bonito y limpio, tienen una terraza muy bonita",4
miguel angeles,"El lugar es muy agradable, limpio, respeta las normas de seguridad, acepta mascotas en la parte de afuera, los alimentos son ricos y de buena calidad, precios justos y el personal EXCELENTE en su servicio",4
Tomás Quijas López,El personal de recepción muy calidos y amable pero los de atención nefastos pero a la hora de cobrar ... Pedí pechuga empanizada y creo comes comes mejor en las fondas del mercado que aquí que son déspotas poquiteros faltos de sabor y d imaginación muy muy muy muy muy mala presentacion a precios altos.,0
Augusto A Trejo t,Tienen buena limpieza y sanitización desde la entrada. Sus clientes prefieren el segundo nivel. Atención regular. Buena presentación de alimentos.,1
Dennisse Herrera,El precio es justo para la abundancia y el sabor de su comida. Son muy amables.,4
Mario Lavdas,"Excelente ambiente.pero! No tienen capacidad de atención,toman el menú y no cuidan el detalle del pedido. no suministran lo requerido.El tiempo de atención largo,traen una parte a los comensales y a otros no.q",1
Nathanael Garrido,Excelente servicio y comida muy rica,4
Nora Rodriguez Garcia,"Un lugar hermoso, agradable, excelente atención y servicio. Los alimentos deliciosos. Recomiendo.",4
Juan Víctor Faccio Lucero,"Nada extraordinario, pero muy cómodo y bonito para la zona. Las bebidas están ricas, el espacio es agradable, el trato es amable. Pero debo confesar que me resultó sumamente desagradable que le sirvieran a mis amigos sus…",2
Jesùs Martín Corona Osornio,"Excelente comida, buen trato, aunque lento el servicio, les pondría un 9 de calificación. Pulcritud y cuidados preventivos muy buenos",4
Fernando V,"Muy rico, rápido el servicio, buena porción, excelente precios. Me gustó mucho ",4
ALMA ALO,Un lugar con las tres B,4
Jonathan Mendoza,"Buen lugar para desayunar, costo beneficio el tiempo de espera suele ser moderado.",4
Maria Leticia Del Valle Sosa,Exelente comida nuy buen servicio,4
Mar Sosa,"El lugar muy bonito, las bebidas muy buenas; pero falta de organización al servir mesas muy concurrida y no es grato que te digan que la propina es de 15%",2
Carlos Alberto López Hernández,"Es un lugar muy agradable para cenar, tomar un café o una cerveza y platicar a gusto. Los precios son razonables y la comida es buena.",4
Arturo Pérez Velasco,Bien. El día que fui como que tenían prisa por que nos saliéramos. Y estábamos muy tranquilitos.,3
Jonathan Noé,"Excelente servicio, los meseros muy atentos. Tienen que probar los paquetes de desayuno con enchiladas suizas (si comes poco picante, no lo recomiendo. Tienes paquetes infantiles",3
Connie Obregon,"Un lugar muy tranquilo y bonito pedí una carne, muy dura y seca, buen postre y excelente café",2
Marya Obregón,"No han actualizado el menú, pero lo que sirven está muy sabroso y las porciones están muy bien.",3
Minervo Montes,"Servicio y comida regular, falta cuidar presentación de platillos.",2
hector aguilar,Lugar agradable cumple con las medidas de higiene contra covid muy buena atención,4
Ale Ortigoza,"Súper lindo el lugar , buenos precios y todo muy limpio bonito y eficiente :)",4
Noemi olivares gomez,"Diseño bonito , me gusta el ambiente. fueron atentos Lo que no me gustó fue que pedí un frappé de chocolate y no sabía a chocolate…",1
Juan Carlos Huerta,"Bastante agradable el lugar, muy buena atención y muy apegados a los protocolos de sanidad. Lo malo es que algunos de los platillos estaban con aceite de más",2
Elizabeth Sanchez,Muy rico el lugar,4
Betty Diazmercado,"La comida está muy rica, son atentos y es un lugar agradable lo recomiendo",4
Miguel Aguillon,"Excelente comida, atención y amenizado por un dueto musical magnifico",4
Norma Guzman,Muy buen lugar,4
Jessica Ovando Nieto,Buen servicio,4
Sandra Muñoz,El chocolate caliente es delicioso !,4
Roberto Berdeja Garcia,Excelente lugar,3
Oscar Osvaldo Belmont López,Un lugar con excelente atención del personal,4
Oscar Ivan Uriostegui Salazar,Excelente lugar y la comida de excelente calidad y muy económico. 100% recomendable.,4
JP Arellano,"El mejor lugar para no salirte de la zona estar cerca de casa con seguridad e higiene. NUNCA SALDREMOS ADELANTE SI NO COMPRAMOS LOCAL,",4
Zeny Moran,Un súper lugar muy bonito y con una atención muy buena,4
Luis Blanco,Excelente lugar para disfrutar de un sabroso desayuno o comidas,4
Erica Castillo,"Crepas de dulce muy buenas , y la dona de nuez riquísima",4
Azul Ortega,"Siempre es agradable visitarlos, la atención es excelente, gracias!",4
Tatiana Melendez Garcia,"Buenos días que lugar tan bonito, excelente servivio , muy buena calidadad servicio y atención.",4
Beatriz Altamirano de los Cobos,Un lugar muy agradable y sus alimentos sabrosos.,4
ROSARIO RAMIREZ VELAZCO,"Delicioso, y excelente servicio, date la oportunidad de degustar",4
Enrique Clemente,Muy buen lugar y excelente oportunidad para convivir ,4
Gabriela Machorro,El pastel de zanahoria está increíble y sus sodas italianas están muy buenas,4
Elizabeth Escarcega,"Muy agradable para ir a cualquier hora , muy tranquilo y muy buen servicio",3
Daniel Andrade,"Me gustó todo, excepto que se tardan mucho en tomarte la orden.",3
Manuel Flores,Excelente servicio.,4
Carlos Salgado,"Un lugar lindo y muy agradable, el menú accesible y la comida deliciosa",4
Cynthia Yoshioka Leal,"Buena comida, atención, falta un poco de logística interna, pero en general muy bien.",3
Jose Hernandez,Sirven los alimentos frios y/o quemados También tardan demasiado en atender a los clientes . Deben de poner mas atención a los trabajadores de ese lugar!!!,0
josue gut,Un lugar muy rico para comer y un exquisito café,4
Brenda M,"Muy buen servicio, los fines de semana son especiales de mariscos, el ambiente tranquilo, buenos precios (: el lugar se ve limpio y el personal es amable",4
Enrique yañez,"El lugar muy nice, las bebidas bien... pero muy lento el servicio de alimentos. Fui por recomendación y pues no fue lo que esperaba",1
miguel esquivel martinez,"Bonito lugar, diseño muy moderno y agradable. Segundo piso el espacio de la terraza, con mobiliario muy adecuado. Desde desayunos y hasta cena, menú variado, a la carta y con sugerencias y…",2
ROGELIO ALOS,"ES UN BUEN LUGAR, PARA DESAYUNAR, COMER O CENAR, EL AMBIENTE ES BONITO. MUY HIGIÉNICO, EXCELENTES MEDIDAS CONTRA LA PANDEMIA. LOS ALIMENTOS BUENOS. LAS INSTALACIONES SON DE DIEZ. UN POCO LENTO EL SERVICIO, YA QUE SE ESTÁN ACOPLANDO AL…",4
Carmen Casillas,"Excelente servicio, muy esquisita comida.",4
Danniela Lomelí Flores,"Delicioso, excelente servicio, vasto al servir, me encantó!",4
Elsy Bautista,"El día que fui había evento y honestamente no tuvimos un buen servicio, sin embargo si recibimos una disculpa y los alimentos me gustaron así que si lo volvería a visitar.",3
Marco Antonio Hernandez Rojas,"El lugar ideal para salir con familia o amigos, un ambiente super tranquilo y fresco, la zona es súper tranquila , tienen buenos precios y amplia variedad de alimentos.",4
Oswaldo Car,"Atención buena, aunque algo lenta, tienen todo el protocolo de higiene ante la pandemia, el mole de olla estaba muy espeso y no me gustó, pero la ensalada, lentejas, sopas y postres!! Uy muy muy buenos, cuentan con una bonita Terraza al aire libre en la parte de arriba. Y regularmente en la calle siempre hay lugar para estacionar.",3
Vane Vera Rey,¡¡¡Muy muy rico todo!!!,4
Adry Makeup,"Muy buen lugar, agradable el personal muy amable y atento y la comida deliciosa muy recomendable",4
Carlos Cabrera,"El lugar muy agradable, la comida con un sazón casero y los precios accesibles",3
Saúl Arreola,Me encantó excelente lugar,4
MaryPaz Reyes Silva,Excelente atención y con todas las medias de higiene.,4
Ivan Martinez,Buen lugar para comer. Los cortes son ricos. Precios alrededor de 120 por persona con todo y bebida.,3
Samanta Rodas,La atención es muy rápida y el café muy rico.,4
PinkLab GARAGE,"El lugar, aunque acogedor y lindo a la vista, dista mucho de ser un buen lugar. Ofrecen una selección variada de mariscos de fin de semana, pero solo se basa en…",0
maria fernandez,Excelente atención,4
Angelica Mergut,"Buena atención y buen servicio, los alimentos agradables, sólo sugiero haya un poco más de personal, como se llena el lugar, en estos tardan un poco en atender",3
Fernando Herrera,"Muy agradable, la atención es muy buena y cálida, buen sabor y sobre todo buenos precios. Los sábados hay mariscos, muy recomendables.",4
Angeles Lugo,"Excelente lugar, comida deliciosa y buena música.",4
CONSHIG,"Agradable para ir a desayunar, habrá que repetir la visita para dar uno opinión más fehaciente pero el lugar muy bonito y la atención excelente",3
Magali Zavala Almeida,Muy buena atención del personal y los platillo riquísimos,4
Taric Del Valle,Un excelente lugar! Lo recomiendo mil y un veces,4
Maria De Lourdes Green Zamacona,Muy rico y nada caro,4
Toño torres,Muy agradable ambiente y muy rica la comida,4
Teresita De Jesús Pérez Ramírez,Me encanta ir a desayunar con mi familia además es sabroso y con excelente calidad en los alimentos y el servicio ,4
Gabriela Hernandez,"El único pero es que le faltaba mucha sal a la comida, eso servicio es bueno",3
Miguel Avila,"La comida que solicitamos este dia estuvo excelente, al igual que el servicio",4
Grizel Aceves,El lugar es muy bonito pero para mí le falta un buen chef,2
Carlos Hernandez,"Siempre un poco de todo, pero su tipo de cafés de buen sabor las instalaciones confortables , recomendable",4
Manuel Luna,"Bonito lugar para parejas y familia, menú excelente.",4
Beatriz Inurreta González,Excelente atención y muy rica comida,4
JUAN CARLOS Anc,Excelente servicio muy buena atención serviciales y con todas las medidas de precausion felicidades,4
Blanca C Ruiz Pacheco,"La comida es muy básica y los precios son caros, preferible un lugar más caro pero con mejores y más platillos...",1
Valery Issu,"Excelente lugar , servicio y precios muy buenos . Las naranjas son la onda ",4
