username,review,calificacion
Paty D D L,"Buena atención, fui a desayunar me gustó y además un hambiente cómodo para compartir con familia y amistades, pide que validen el boleto de estacionamiento para descuento.",4
Arsenio José Rodriguéz,"Un lugar para disfrutar en pareja,en familia o entre amigos Magnífico servicio,sabor,limpieza, atención,  WOW Un gran lugar para tomar café y pastel de Zanahoria Sin dudar date la oprtunidad de conocer lo genial",4
Ruben Ignorosa,"Buen servicio, y muy rico todo",4
Juan Leopoldo Vargas,La atención es adecuada pero el platillo estaba tibio. El café estaba rico,3
monica ayala,"Ya no hay gente como antes, y todos los empleados son super amables, hacen todo para que estés contento y comas ricooo",4
Angel Lara,"Pedí una orden de guacamole y me dieron solo 8 totopos, Coca-Cola sin gas, e ido a otros toks y todo bien aquí se me hizo muy malo el servicio en general.",0
Octavio Martínez,"Excelente atención, y con las medidas de seguridad e higiene. La comida muy sabrosa, a diferencia del Toks de Politécnico. Aquí siempre me ha gustado porque se esmeran en la atención.",4
Jose Ley,"Excelente atención, continúa con protocolos de higiene. Platillos muy ricos. Calidad en su servicio.",4
mariska soledad,"Siempre es una gran experiencia comer en Toks. La comida, el servicio, el menú, no fallan. Además de sus proyectos productivos con comunidades indígenas, que no cualquier empresa impulsa, me tienen fascinada. Siempre que tenga oportunidad…",4
Nayeli,"El personal de esta sucursal da una atención muy cálida, son amables. Todo esta muy limpio. Recomendable.",4
Guillermo Alejandro Santillan Miranda,"Cómo todos los Toks muy buena su comida, pero aquí observé que no hay mucha gente cerca tienen bien definidos sus lugares para una sana distancia.",4
Mike Romero,La sección de ensaladas es realmente exquisita. 10/10,4
ivan hernandez,Todo muy rico,4
Plumber Business & Consulting,"En verdad Toks me sorprende más porque no importa la sucursal, sus platillos y atenciones como Alexa y Edgar fueron de lo mejor. Felicitaciones!!!",4
Rita Marisol García Mandujano,"Muy buena atención, comida como sienlre excelente",4
José Luis,"Son muy amables, el servicio fue mi rápido y la comida me gustó. Lo recomiendo.",4
Kyle Rayner,"De todos los Toks que he visitado este se me hace el mejor: tienen un chef con excelente sazón, nunca está atascado y todo el personal es muy profesional y servicial. Siempre me sacan de apuros cuando no tengo comida y nunca me han quedado mal con el sabor de todas las cosas.",4
SALVADOR LEON,Muy rico y súper atención...,3
Karla “Kareliley” Leyva,"De las mejores sucursales la comida súper rica, ingredientes frescos y de calidad siempre, la atención del personal es simplemente increíble ",4
Paola Medina,Se tardó mi plato y llegó frío. Pero muy amablemente la mesera me lo fue a calentar. Se tardan un poco en domingo pero el servicio es atento y bueno.,3
Blanca Ancona,"El servicio es bueno, me sorprendió q para tu café te dan cucharas desechables y es bueno, x los contagios,pero si es eso, también deverian de dar los cubiertos desechables aunque si había mucha gente fue rápida la atención.",3
FELIPE MARTINEZ,Bastante limpio y seguro,4
Alfredo Jimenez,Excelente servicio y la atención por parte del mesero súper bien,4
Irasema Lilian García Ríos,Muy bien servicio,4
Rodolfo Franco,Muy limpio y atentos,4
Verónica Castañeda,"Excelente atención, comida bien, buena higiene, en resumen recomendable, si quieres disfrutar un momento agradable para comer y platicar o tomar un café es el lugar",4
Víctor A. Navarro C.,Muy buen servicio,4
LECON URG,Buena atención amables,4
GIL SANTOME,"Bien aunque no vayan los fines de semana, porque hay fila para entrar pero mucho mas fila para pagar donde te puedes tardar 30 minutos",2
Diana Cortés,Excelente servicio y la comida deliciosa! Me quedo con un agradable sabor de boca.,4
Leticia Trejo,Buena atención... solo que deberían validar el boleto de estacionamiento en el mismo toks,3
LUZ MARIA BERNAL,Muy buena la sopa de tortilla. Todo muy limpio y con sana distancia.,4
Araceli Martinez,Limpio sanitizado de todo a todo atención agradable muy sabroso todo lo q preparan,4
Lizzy GC,"Platillo servido a mi gusto, riquísimo, con mucha higiene, sabor y calidad",4
Lupita Rodríguez,"Un lugar acogedor, buen café, buen servicio, excelente cenas.",4
paco 0722,Hay buen servicio aunque el personal carece de conocimientos respecto a las promociones del 50 aniversario,2
Santiago Escamilla,Excelente servicio,4
Fabiola Lugo,Excelente servicio,4
Luis Antonio Vazquez Garcia,Muy bien,4
Jesus Parra,El servicio es súper lento a pesar de no tener gente y la calidad de la comida ha bajado muchísimo a comparación de los precios que han subido.,0
Kika Guevara,"La comida sigue siendo buena, y las medidas higiénicas, muy buenas también. El servicio un poco lento.",4
Erick Rivera,Bien sazon y servicio bueno. El lugar edta agradable bien ventilado y con sana distancia,4
Roberto Rafael Sosa Balderas,"Café cotidiano pésimo, comida regular. Ubicación buena.",2
Jaime Brito,La verdad es muy rico nunca me han decepcionado muy buena la atención y tranquilo,4
Francel Olvera,Pobre platillos q ya había probado en otros toks cómo por.ejemplo el toks de 101 y si cambia mucho el sabor La verdad no me gusto el sazón de esta sucursal,1
Juan Carlos Sandoval,"Pesimo servicio. Calidad de comida muy mala, y muy pero muy tardado el. Servicio apesar de estar vacío el lugar.. Definitivamente no vuelvo a llevar a mi familia.",0
Gabriel Flores S.,Tranquilo.Limpio.buena atención aunque su menú es escaso y sobrio.,3
Alicia Tejedo,"Riquísimo, atención esmerada",4
Julian Valdes,"Muy buen servicio y atención, Buena comida, buenos precios",4
samuel martinez bazan,Muy buen servicio muy atento y muy limpio,4
Ignacio Ramirez,Buena atención,4
Gustavo Guzmán,Buen servicio,4
Armando Suarez,Buen servicio,4
Pato Mungia,"Ha decaído mucho la calidad de toks a partir de la pandemia, mal servicio, meseros de cara, comida hechada a perder, alimentos mal preparados, hoy pedí mi platillo para llevar, y la mesera se le ocurrió cambiar el platillo al empaque en la…",2
Alejandra Mendieta,Exelente la comida la mesera muy descuidada con el servicio la mesa estaba sucia hasta que le pedimos retirará basura y platos,4
Margarita Suárez,"Tenía más de 2 años de no ir, no estaban buenos los alimentos, había tan poca gente que creo que hasta el personal atendió con flojera",2
SERVICIO ANGOR PEDRO PEREZ,Muy bien,3
Jorge Lire,Buen servicio. El sabor es muy bueno al igual que los precios.,4
Maricela Fernandez (Marinela),Excelente atención del mesero aunque mi platillo un poco salado...,3
Aneksamanun matiti,Delicioso Limpio rapidez en los alimentos el chile en nogada delicioso,4
Monica Rodriguez Torres,Te atienden super bien,4
Perla De Rocio Casas Ramirez,Me gusta mucho su consome ranchero,4
Dolorita Franco,Excelente atención y ahora mejor con la tarjeta que acumula puntos,4
FAbs Prieto,"De mis lugares favoritos!! La atención siempre es súper cálida, los alimentos son muy buenos y el personal súper atento.…",4
Paulina Moreno Rodríguez,"Ameno, precios accesibles pero la atención podría mejorar",3
Adriana Villalobos,El filete de res a la tampiqueña es la cosa más deliciosa que he probado ,4
Jackie.loopez Lopez,Excelente cafecito moka mexicano,4
Alfredo Figueroa,"Buena atención, bien los alimentos medias sanitarias apropiadas",4
nicolas moreno garcia,Muy rico,3
Edmundo De Jesús Espinosa Ríos,Buena atención,4
patyryry ramirez,Buen servicio,4
