username,review,calificacion
Julio Espinosa,"Como en todas sus sucursales, agradable y limpio ambiente! Muy atenta y pronta atención. Uso obligatorio de medidas de higiene para prevenir contagios para todos los comensales. Poca gente y observación de adecuada distancia entre usuarios. Una muy buena experiencia para disfrutar solo o en compañía de la familia y amigos!",3
Renata Martínez,Excelente servicio!! Me encanta el sabor de los alimentos y además el capuchino es mi favorito!! Las comidas ejecutivas son una delicia!! Los postres también!! Un lugar lindo para ir a cualquier hora del día!!,4
Jesús Avila,"Buen servicio y variedad. El precio es un poco más alto de vips, por ejemplo. Rica comida. Vale la pena.",4
Marck Franco,"Es una verdadera decepción este lugar, los precios para nada son económicos! Y aún, que uno está pagando por un servicio de primera la atención es totalmente deficiente desde los meseros hasta el gerente.…",0
Martha Orduz,"Es un lugar limpio, bonito, organizado y con medidas estrictas para covid, las porciones son un poco pequeñas para el costo y se tardan en el servicio, pero es un buen lugar para comer",3
Iran Nuncio,Me encantó su atención la bienvenida que te dan la atención del mesero Luis el jefe de meseros muy atento nos atendieron muy rápido todo muy limpio caliente y de buen precio todo delicioso los baños muy limpios gracias por su atención gracias,4
Noe Sánchez,Entiendo que por protocolo De seguridad no te presten una carta de menú. Pero y si tu celular no tiene pila como puedes ver el menú? Ó en ocasiones olvidó mi celular en casa. no hay manera de ver el menú... para ser un restaurante de…,1
Juan Carlos Hernández Aguila,Este restaurante está sobre el Canal de Miramontes y es un restaurante muy agradable se llena mucho por lo que te recomiendo tener paciencia. Muy buen servicio el personal es muy atento y están pasando muy a menudo a tu mesa. Platillos muy…,4
Rogelio Reynoso,"Muy buena opción cuando no sabes que comer. Buenos platillos, costo medio. Muy buenos postres.",3
Flor Adriana Arredondo Torres,"Excelente atención, con todas las medidas de seguridad. Y los alimentos... Deliciosos!!!",4
Víctor Emmanuel Ross Martínez,El servicio es muy bueno y la calidad estupenda,4
José Carlos G.,"Muy buen lugar para desayunar, hay paquetes de desayuno, menú infantil, cafés de barra y postres. De momento el menú es reducido y el cupo máximo por mesa es de 4 personas. Manejan muy bien los estándares de higiene y la sana distancia…",4
ENRIQUE SANCHEZ BADILLO,"Muy rico, y buena atención",4
elizu alonso,"Buena atención en general y buen sabor en los alimentos, como recomendación el mole en cualquier versión y chilaquiles mayas si te gusta algo picosito",4
Jorge Quintero,Muy bien hoy.,4
Guillermo Martinez,"Buen sabor, atención",4
Yibran Bernal,"Excelente lugar , un ambiente agradable y la decoración muy elegante, la atención por parte del personal estuvo estupenda, e visitado este restaurante varias veces y todo excelente, pero más mi última visita que fue un cumpleaños, el…",4
carlos galicia,"Es un lugar muy tranquilo, seguro y con amplio estacionamiento además de la plaza y otros comercios muy recomendable",4
Laura Gomez,"La atención y la comida aquí, en esta ocasión fué muy buena, no en todas está bien la comida,",3
Angie Mel,"Esta bastabte rica la comida y no tan cara, solo que cuando hay gente la atención puede ser un tanto descuidada pero se entiende. Como no esta llenisimo, una excelente atención.",4
alinn val mor al,Servicio rápido a la comida le pongo 8,3
Rodrigo Diaz (Ventrux),"Bien, buenos alimentos, respetan la sana distancia, buen café, había fila en la entrada pero nos pasaron muy rápido. Todo limpio, buena atención. Área de juegos de niños, baños impecables.",4
Diana Avila,"Excelente servicio, todos los alimentos son frescos y con buen sabor",4
E. F. Muñoz M.,Un poco atropellados el servicio y la presentación de los platillos. Ignoro si fue por falta de personal o alguna otra razón. Los baño ligeramente descuidados.…,2
Luis Arturo Rosales,"El servicio bien. La atención bien, solo al llegar nadie me recibió no me tomaron temperatura ni ofrecieron antibacterial.. Me pasé como Juan por su casa y me sente",3
Arturo E López,"El lugar muy amplio y limpio, el personal muy amable y la comida muy bien",4
Alejandro Castro Victoria,"Agradable, buen servicio, pero siento que es demasiado caro.",3
Sarah Sifuentes de la Torre,"Buen servicio, rápido y eficiente. Además de que el restaurante es grande a pesar de parecer lo contrario.…",4
Francisco Padilla,Grata sorpresa y oportunidad de acudir tarde para esa hambre,3
Jamnell CGV,"Excelente atención, buen sazón y excelente distancia entre comensales. Me gusta mucho. Conozco y frecuento este restaurante desde hace más de 8 años y han mejorado, cada año un tramo más, hasta ser una excelente sucursal.",4
Susana Camacho R,Muy rico y excelente atención,4
ZAIDA MG,Me gustó mucho la atención Su personal cn ganas de q regrese Gxs a todos x sus atenciones,4
Blanca Mond,"Generalmente Toks me gusta, sin embargo en esta ocasión la atención fue muy tardada",2
Blanca Susana Cruz,La comida es buena y te atienden bien.,4
Issela González,"La verdad me gusta mucho este lugar y no voy tan seguido como quisiera, pero he comido y cenado. Adoro sus sandwiches  y hamburguesas  son deliciosos y la verdad están bien servidos, los precios están dentro del rango de la calidad…",4
Antonio Sanchez quiroz,Agradable ambiente Vigilancia constante Medidas de seguridad e higiene Buena atención,4
Marisela Ramos Meza,Muy buena atención del personal.,4
jose villaseñor montes de oca,"Buena atención, variedad en los alimentos, muy bien elaborados, buena limpieza y medidas de protección. Grande estacionamiento, fácil de llegar.",4
Lucia Hilario,Atención muy buena... comida deliciosa SU PROBLEMA son sus baños sucios. Aunque los reportes no hacen por limpiarlos,3
Jesus Guillermo Gonzalez Quiroz,Muy buen lugar para ir a comer con familia y amigos el servicio es genial... Son algo elevado los precios pero valen la pena... En ciertas ocasiones tienes que esperar un poco de tiempo en la entrada ya que es muy solicitado el lugar por la…,3
Luisa María Diaz,Excelente servicio,4
Pato De Oro Vargas,"La mesera lenta y prepotente, queriéndome vender lo que ella quería ! La reporte en caja",0
