username,review,calificacion
Eddie Marin,"Recomendable, rico y a buen precio. Además algunos otros productos veganos, tortas tacos, hamburguesas, postres quesos, el lugar siempre limpio, es excelente una opción para los que vivimos en el limite de la ciudad nor oriente con el estado de méxico, tienen tarjeta de visitas y te dan tu descuento cuando lo llenas!!!",4
miguelangel tovilla,"Mega rico, hamburguesas gigantes a un precio increíble y todo con una gran causa, lo recomiendo al 100%",4
susana cervantes,"¡Es mi lugar favorito! La comida deliciosa, súper bien la relación costo- beneficio y sabor. La hora de cierre de los fines de semana es muy cómoda! Las hamburguesas están deliciosas. ¡Todo!",4
Daniel om plur,Super ricos los tacos y una sopa de lentejas exquisita . Además tienen productos de @sevananda y la atención de lo mejor. Visiten este magnífico lugar.,4
pao,La comida está super Deli y super barata además de que quienes manejan este proyecto son personas veganas realmente comprometidas con la liberación animal.,4
María Cristina Pérez Agüero,La comida es deliciosa y la atención también.,4
CHRISTOPHER GÓMEZ,Los tacos estan de super lujo y la hamburguesa buenisima,4
Abigail Gamiño,La comida es deliciosa y la atención por parte de todo el personal es siempre excelente.,4
Berno Argón,"Uno de mis 3 lugares favoritos para comer tacos, tortas, Gringas, burritos, etc... De verdad no miento al decir que me fascinó muchooo todo su menú y sus sabores. Ya quiero volver a ir ",4
alejandro guzman,"Es súper fácil llegar , además de que la comida huele maravilloso y sabe mejor",4
Jacqueline Perez Montaño,"Hoy acudí a V de Vegano porque utilizaba Didi para mi consumo y hoy vine al establecimiento y es una casa común y corriente y desde la entrada se ve suciedad y mi decepción total , super sucio asqueroso y la verdad la persona que me…",0
Fernanda Rivera,"La comida es tan rica que unos taquitos de simples nopales te saben a gloria. Me encanta que sea tan accesible para todo el público, además de que la atención es amable.",4
Luis Gonzalez,Muy rico ,4
Daniel Popoca,Preparan comida vegana muy rica y también ricos antojitos,4
Ricardo Villegas Morales,Muy bien servicio y todo muy rico,4
jorge ramirez,Excelente servicio,4
Victor Godoy,Excelente sabor,4
Esperanza Sylvia Flores Guerrero,Gran variedad de productos para la alimentación vegana excelente atención y postres,4
Ricardo Saucedo Dimas,"Gracias por el excelente servicio, todo estaba delicioso",4
Bel Pm,"La comida del lugar es buena y los precios muy accesibles, lo malo es que comúnmente no se encuentra el menú completo, suele haber cosas que no llegan a tener. Al ser un lugar pequeño, en horarios concurridos el servicio puede ser lento.…",3
Gerardo LM,"Una excelente opción para la gente vegana de la zona oriente de la ciudad de méxico. Precios accesibles, variedad y sabor! Ojo, no abren domingos ni lunes. Altamente recomendables.",4
Mauricio D.,"Me encanta, he probado las tortas y algunas pizzas, todo delicioso. Me gustaría que cuidaran mas la estética del lugar. Mientras esperaba muchas personas que pasaban se interesaban por lo que había dentro, si le echan mas ganas a la fachada…",3
Emma,"La comida y todo es muy rico, lo recomiendo:)",4
dannyel cortez,Excelente lugar vegano. Además de la alternativa herbolaria....,4
leny pineda,Excelente lugar ,4
Cristina Pérez Agüero,"Excelente comida, bien servida y con rico sazón.",4
Rene D Guerrero,Un rico sazón... Recomendable,3
jesus v rojas,"Me encantó la comida, el trato. Muy recomendable. Seguro regresaré",4
Miguel Vanegas,"Buenos alimentos, pero muy pequeño lugar.",1
CASTILLO DIANA,El menú del día muy completo y precio razonable.,2
Laura Ortis,Excelente servicio,3
Carlos Rosas,Muy rica la comida,4
Denisse Erre,Comida vegana muy rica. Servicio y atención,4
aloo mushi,Muy rico. No le pides nada a la comida convencional. Excelente me encantó,4
Ixchel Rubí,Riquísimo. Excelente calidad y sabor. Comida muy conciente. Usan papel y aluminio. Earth friendly. ,4
Erik Cervan,Bien servido y muy buen sabor,4
Luis José López Díaz,Comida rica y sana,3
Luisa Ramos,"Excelente servicio, platillos abundantes y económicos",3
santiago santiago,Buen sazón Buen precio Opción para quienes están por el área del Metro impulsora.... Cómo degustador de cocinas vegetarianas y veganas buen lugar....,3
